# ANI ranges report for assembly: GCA_000829905.1
# Submitted organism: Beduini massiliensis (taxid = 1585974, rank = species, lineage = Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Beduini)
# Submitted Organism Has Type Assembly: Yes
# Best match: Faecalibacillus faecis (taxid = 1982628, rank = species, lineage = Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Coprobacillaceae; Faecalibacillus)
# Status: INCONCLUSIVE
# Confidence: LOW
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
T	CDPP01000002.1	CONTIG	268233	271465	339278	PYLQ01000007.1	41707	44935	GCA_003024685.1	Faecalibacillus intestinalis	80.7645	96	0.952906
T	CDPP01000002.1	CONTIG	309369	310979	339278	SMCQ01000029.1	304	1906	GCA_004343035.1	Longibaculum muris	83.0456	96	0.474832
T	CDPP01000003.1	CONTIG	21011	22110	420399	SMCQ01000005.1	58282	59381	GCA_004343035.1	Longibaculum muris	76.1905	96	0.261656
T	CDPP01000003.1	CONTIG	98662	98840	420399	SMCQ01000015.1	6643	6812	GCA_004343035.1	Longibaculum muris	89.4444	96	0.0425786
T	CDPP01000003.1	CONTIG	98842	99060	420399	SMCQ01000001.1	53131	53361	GCA_004343035.1	Longibaculum muris	91.3793	96	0.0520934
T	CDPP01000003.1	CONTIG	146597	151331	420399	SMCQ01000015.1	69247	73957	GCA_004343035.1	Longibaculum muris	75.8363	96	1.12631
T	CDPP01000003.1	CONTIG	266643	270181	420399	SMCQ01000010.1	18523	22064	GCA_004343035.1	Longibaculum muris	80.6786	96	0.841819
T	CDPP01000003.1	CONTIG	285904	289342	420399	SMCQ01000036.1	10177	13613	GCA_004343035.1	Longibaculum muris	76.7462	96	0.818032
T	CDPP01000003.1	CONTIG	295913	296093	420399	SMCQ01000006.1	62297	62476	GCA_004343035.1	Longibaculum muris	93.0362	96	0.0430543
T	CDPP01000003.1	CONTIG	296094	296269	420399	SMCQ01000015.1	6813	6983	GCA_004343035.1	Longibaculum muris	93.0362	96	0.041865
T	CDPP01000003.1	CONTIG	296270	296369	420399	JANKBF010000004.1	147077	147175	GCA_024622235.1	Longibaculum muris	88.3495	96	0.0237869
T	CDPP01000003.1	CONTIG	296370	296524	420399	SMCQ01000006.1	61964	62113	GCA_004343035.1	Longibaculum muris	94.8387	96	0.0368697
T	CDPP01000003.1	CONTIG	309972	310286	420399	PYLQ01000010.1	87032	87334	GCA_003024685.1	Faecalibacillus intestinalis	92.381	96	0.0749288
T	CDPP01000003.1	CONTIG	310344	310623	420399	PYLQ01000023.1	43111	43408	GCA_003024685.1	Faecalibacillus intestinalis	84.1584	96	0.0666034
T	CDPP01000004.1	CONTIG	62373	62716	593760	SMCQ01000013.1	11048	11392	GCA_004343035.1	Longibaculum muris	85.5908	96	0.0579359
T	CDPP01000004.1	CONTIG	75548	75898	593760	SMCQ01000005.1	68843	69198	GCA_004343035.1	Longibaculum muris	95.7983	96	0.0591148
T	CDPP01000004.1	CONTIG	104330	104812	593760	PYLQ01000016.1	39489	39960	GCA_003024685.1	Faecalibacillus intestinalis	87.3984	96	0.081346
T	CDPP01000004.1	CONTIG	104813	104913	593760	PYLP01000027.1	19856	19954	GCA_003024675.1	Faecalibacillus faecis	82.1782	96	0.0170102
T	CDPP01000004.1	CONTIG	104918	105457	593760	SMCQ01000005.1	69204	69748	GCA_004343035.1	Longibaculum muris	85.5615	96	0.0909458
T	CDPP01000004.1	CONTIG	185605	187921	593760	PYLP01000001.1	245526	247853	GCA_003024675.1	Faecalibacillus faecis	75.0958	96	0.390225
T	CDPP01000004.1	CONTIG	304183	305443	593760	SMCQ01000001.1	158669	159920	GCA_004343035.1	Longibaculum muris	78.9227	96	0.212375
T	CDPP01000004.1	CONTIG	381471	381674	593760	JAOQJR010000012.1	47505	47708	GCA_025566905.1	[Clostridium] ammoniilyticum	83.6538	96	0.0343573
T	CDPP01000004.1	CONTIG	436630	436788	593760	SMCQ01000002.1	89839	89998	GCA_004343035.1	Longibaculum muris	86.9565	96	0.0267785
T	CDPP01000004.1	CONTIG	537715	543284	593760	SMCQ01000030.1	163	5734	GCA_004343035.1	Longibaculum muris	77.4296	96	0.938089
T	CDPP01000005.1	CONTIG	5	1599	666513	SMCQ01000045.1	3260	4866	GCA_004343035.1	Longibaculum muris	90.4644	96	0.239305
T	CDPP01000005.1	CONTIG	1692	4748	666513	SMCQ01000045.1	50	3125	GCA_004343035.1	Longibaculum muris	88.0361	96	0.458656
T	CDPP01000005.1	CONTIG	5063	7535	666513	SMCQ01000023.1	44647	47148	GCA_004343035.1	Longibaculum muris	79.2557	96	0.371036
T	CDPP01000005.1	CONTIG	13681	14848	666513	SMCQ01000015.1	49947	51119	GCA_004343035.1	Longibaculum muris	76.7694	96	0.17524
T	CDPP01000005.1	CONTIG	22239	23116	666513	SMCQ01000013.1	34834	35712	GCA_004343035.1	Longibaculum muris	83.5214	96	0.13173
T	CDPP01000005.1	CONTIG	322932	326385	666513	SMCQ01000041.1	962	4412	GCA_004343035.1	Longibaculum muris	79.0577	96	0.518219
T	CDPP01000005.1	CONTIG	558183	559970	666513	SMCQ01000002.1	138174	139956	GCA_004343035.1	Longibaculum muris	87.8839	96	0.268262
T	CDPP01000005.1	CONTIG	623799	624815	666513	JAOQJR010000003.1	151939	152950	GCA_025566905.1	[Clostridium] ammoniilyticum	81.8004	96	0.152585
T	CDPP01000006.1	CONTIG	6	123	829176	PYLP01000038.1	93	210	GCA_003024675.1	Faecalibacillus faecis	94.0678	96	0.014231
T	CDPP01000006.1	CONTIG	29619	29781	829176	SMCQ01000006.1	62483	62647	GCA_004343035.1	Longibaculum muris	97.5758	96	0.0196581
T	CDPP01000006.1	CONTIG	30045	30201	829176	JANKBF010000004.1	146645	146805	GCA_024622235.1	Longibaculum muris	96.8944	96	0.0189345
T	CDPP01000006.1	CONTIG	30202	30361	829176	SMCQ01000011.1	71147	71312	GCA_004343035.1	Longibaculum muris	95.7831	96	0.0192963
T	CDPP01000006.1	CONTIG	30362	30558	829176	JANKBF010000012.1	12449	12634	GCA_024622235.1	Longibaculum muris	86	96	0.0237585
T	CDPP01000006.1	CONTIG	49493	50740	829176	JANKBF010000008.1	127947	129193	GCA_024622235.1	Longibaculum muris	81.4343	96	0.150511
T	CDPP01000006.1	CONTIG	69249	70345	829176	JANKBF010000048.1	1	1092	GCA_024622235.1	Longibaculum muris	88.8249	96	0.1323
T	CDPP01000006.1	CONTIG	70346	70982	829176	JANKBF010000013.1	78	714	GCA_024622235.1	Longibaculum muris	88.8249	96	0.0768233
T	CDPP01000006.1	CONTIG	177386	180664	829176	JAOQJR010000013.1	11153	14451	GCA_025566905.1	[Clostridium] ammoniilyticum	77.7146	96	0.395453
T	CDPP01000006.1	CONTIG	181812	191964	829176	JANKBF010000031.1	1696	11867	GCA_024622235.1	Longibaculum muris	79.1142	96	1.22447
T	CDPP01000006.1	CONTIG	196809	197085	829176	PYLQ01000039.1	106	382	GCA_003024685.1	Faecalibacillus intestinalis	83.5714	96	0.0334067
T	CDPP01000006.1	CONTIG	200261	204620	829176	JANKBF010000039.1	177	4512	GCA_024622235.1	Longibaculum muris	83.6331	96	0.525823
T	CDPP01000006.1	CONTIG	215120	216906	829176	JANKBF010000010.1	98026	99816	GCA_024622235.1	Longibaculum muris	78.8145	96	0.215515
T	CDPP01000006.1	CONTIG	216907	217432	829176	JAOQJR010000020.1	15300	15800	GCA_025566905.1	[Clostridium] ammoniilyticum	76.7925	96	0.0634365
T	CDPP01000006.1	CONTIG	218325	218838	829176	JAOQJR010000012.1	27949	28463	GCA_025566905.1	[Clostridium] ammoniilyticum	77.7778	96	0.0619893
T	CDPP01000006.1	CONTIG	298327	299345	829176	JANKBF010000009.1	113005	114023	GCA_024622235.1	Longibaculum muris	87.2424	96	0.122893
T	CDPP01000006.1	CONTIG	336245	338837	829176	JANKBF010000010.1	40509	43101	GCA_024622235.1	Longibaculum muris	81.8008	96	0.31272
T	CDPP01000006.1	CONTIG	646496	647393	829176	JANKBF010000025.1	7937	8834	GCA_024622235.1	Longibaculum muris	85.1111	96	0.1083
