# Assembly name:  ASM304964v1
# Organism name:  Metasolibacillus fluoroglycofenilyticus (firmicutes)
# Infraspecific name:  strain=cmg86
# Taxid:          1239396
# BioSample:      SAMN08796435
# BioProject:     PRJNA445714
# Submitter:      Virginia Polytechnic Institute and State University
# Date:           2018-04-11
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    PYWK01
# Assembly method: SPAdes v. 3.9.0
# Expected final version: no
# Genome coverage: 500x
# Sequencing technology: Illumina MiSeq
# Relation to type material: assembly from type material
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_003049645.1
# RefSeq assembly accession: GCF_003049645.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003049655.1	GCF_003049655.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
NODE_1_length_2280247_cov_102.929_ID_1	unplaced-scaffold	na	na	PYWK01000001.1	=	NZ_PYWK01000001.1	Primary Assembly	2280247	na
NODE_2_length_354914_cov_102.778_ID_3	unplaced-scaffold	na	na	PYWK01000002.1	=	NZ_PYWK01000002.1	Primary Assembly	354914	na
NODE_3_length_281397_cov_114.014_ID_5	unplaced-scaffold	na	na	PYWK01000003.1	=	NZ_PYWK01000003.1	Primary Assembly	281397	na
NODE_4_length_197079_cov_116.129_ID_7	unplaced-scaffold	na	na	PYWK01000004.1	=	NZ_PYWK01000004.1	Primary Assembly	197079	na
NODE_5_length_186581_cov_109.89_ID_9	unplaced-scaffold	na	na	PYWK01000005.1	=	NZ_PYWK01000005.1	Primary Assembly	186581	na
NODE_6_length_81828_cov_117.027_ID_11	unplaced-scaffold	na	na	PYWK01000006.1	=	NZ_PYWK01000006.1	Primary Assembly	81828	na
NODE_7_length_80067_cov_109.427_ID_13	unplaced-scaffold	na	na	PYWK01000007.1	=	NZ_PYWK01000007.1	Primary Assembly	80067	na
NODE_8_length_51883_cov_114.27_ID_15	unplaced-scaffold	na	na	PYWK01000008.1	=	NZ_PYWK01000008.1	Primary Assembly	51883	na
NODE_9_length_32078_cov_104.088_ID_17	unplaced-scaffold	na	na	PYWK01000009.1	=	NZ_PYWK01000009.1	Primary Assembly	32078	na
NODE_10_length_29156_cov_122.888_ID_19	unplaced-scaffold	na	na	PYWK01000010.1	=	NZ_PYWK01000010.1	Primary Assembly	29156	na
