# Assembly name:  IMG-taxon 2617270926 annotated assembly
# Organism name:  Bhargavaea ginsengi (firmicutes)
# Infraspecific name:  strain=CGMCC 1.6763
# Taxid:          426757
# BioSample:      SAMN04488127
# BioProject:     PRJEB16796
# Submitter:      DOE - JOINT GENOME INSTITUTE
# Date:           2016-10-31
# Assembly type:  na
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    FNZF01
# Assembly method: ALLPATHS v. r46652
# Genome coverage: 353x
# Sequencing technology: Illumina HiSeq 2500-1TB
# Relation to type material: assembly from type material
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_900109165.1
# RefSeq assembly accession: GCF_900109165.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_900109164.1	GCF_900109164.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
FNZF01000001.1	unplaced-scaffold	na	na	FNZF01000001.1	=	NZ_FNZF01000001.1	Primary Assembly	1086746	na
FNZF01000002.1	unplaced-scaffold	na	na	FNZF01000002.1	=	NZ_FNZF01000002.1	Primary Assembly	663461	na
FNZF01000003.1	unplaced-scaffold	na	na	FNZF01000003.1	=	NZ_FNZF01000003.1	Primary Assembly	465713	na
FNZF01000004.1	unplaced-scaffold	na	na	FNZF01000004.1	=	NZ_FNZF01000004.1	Primary Assembly	227565	na
FNZF01000005.1	unplaced-scaffold	na	na	FNZF01000005.1	=	NZ_FNZF01000005.1	Primary Assembly	173479	na
FNZF01000006.1	unplaced-scaffold	na	na	FNZF01000006.1	=	NZ_FNZF01000006.1	Primary Assembly	156099	na
FNZF01000007.1	unplaced-scaffold	na	na	FNZF01000007.1	=	NZ_FNZF01000007.1	Primary Assembly	106750	na
FNZF01000008.1	unplaced-scaffold	na	na	FNZF01000008.1	=	NZ_FNZF01000008.1	Primary Assembly	86826	na
FNZF01000009.1	unplaced-scaffold	na	na	FNZF01000009.1	=	NZ_FNZF01000009.1	Primary Assembly	46737	na
FNZF01000010.1	unplaced-scaffold	na	na	FNZF01000010.1	=	NZ_FNZF01000010.1	Primary Assembly	33209	na
FNZF01000011.1	unplaced-scaffold	na	na	FNZF01000011.1	=	NZ_FNZF01000011.1	Primary Assembly	26661	na
FNZF01000012.1	unplaced-scaffold	na	na	FNZF01000012.1	=	NZ_FNZF01000012.1	Primary Assembly	20324	na
FNZF01000013.1	unplaced-scaffold	na	na	FNZF01000013.1	=	NZ_FNZF01000013.1	Primary Assembly	6412	na
FNZF01000014.1	unplaced-scaffold	na	na	FNZF01000014.1	=	NZ_FNZF01000014.1	Primary Assembly	1179	na
