# ANI ranges report for assembly: GCA_018406465.1
# Submitted organism: Longicatena caecimuris (taxid = 1796635, rank = species, lineage = Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Longicatena)
# Submitted Organism Has Type Assembly: Yes
# Best match: Longicatena caecimuris (taxid = 1796635, rank = species, lineage = Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Longicatena)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	AP024510.1	CIRCULAR	1	39257	3103757	JANKBG010000004.1	101464	140708	GCA_024622185.1	Longicatena caecimuris	99.4193	96	1.26482
-	AP024510.1	CIRCULAR	49716	62199	3103757	JANKBG010000004.1	140709	153192	GCA_024622185.1	Longicatena caecimuris	98.7744	96	0.402222
-	AP024510.1	CIRCULAR	62300	66332	3103757	JANKBG010000004.1	157649	161679	GCA_024622185.1	Longicatena caecimuris	98.7859	96	0.129939
-	AP024510.1	CIRCULAR	67646	68417	3103757	JANKBG010000010.1	315	1089	GCA_024622185.1	Longicatena caecimuris	81.3367	96	0.0248731
-	AP024510.1	CIRCULAR	68418	68699	3103757	SMBP01000004.1	1	282	GCA_004341945.1	Longicatena caecimuris	96.8085	96	0.00908576
-	AP024510.1	CIRCULAR	69009	70121	3103757	JANKBG010000002.1	1	1113	GCA_024622185.1	Longicatena caecimuris	99.3525	96	0.0358598
-	AP024510.1	CIRCULAR	70122	125218	3103757	JANKBG010000016.1	1	55086	GCA_024622185.1	Longicatena caecimuris	99.3525	96	1.77517
-	AP024510.1	CIRCULAR	125368	133691	3103757	JANKBG010000016.1	55087	63395	GCA_024622185.1	Longicatena caecimuris	99.075	96	0.268191
T	AP024510.1	CIRCULAR	137248	137997	3103757	JAKVPQ010000002.1	363902	364655	GCA_022487425.1	Amedibacillus hominis	94.8276	96	0.0241643
-	AP024510.1	CIRCULAR	138945	149481	3103757	JANKBG010000016.1	63396	73940	GCA_024622185.1	Longicatena caecimuris	98.1134	96	0.339492
-	AP024510.1	CIRCULAR	149485	151767	3103757	JANKBG010000024.1	46580	48859	GCA_024622185.1	Longicatena caecimuris	96.3644	96	0.073556
T	AP024510.1	CIRCULAR	151768	151970	3103757	JAOQJY010000001.1	58524	58727	GCA_025567525.1	Gallintestinimicrobium propionicum	92.1569	96	0.00654046
T	AP024510.1	CIRCULAR	151971	153419	3103757	JAKVPQ010000004.1	134643	136087	GCA_022487425.1	Amedibacillus hominis	87.3793	96	0.0466854
T	AP024510.1	CIRCULAR	153506	154498	3103757	JAKVPQ010000004.1	136301	137325	GCA_022487425.1	Amedibacillus hominis	87.1345	96	0.0319935
T	AP024510.1	CIRCULAR	157580	157798	3103757	CP060636.1	812715	812938	GCA_014337235.1	[Eubacterium] hominis	92.4444	96	0.00705596
-	AP024510.1	CIRCULAR	158335	160010	3103757	JANKBG010000024.1	42124	43802	GCA_024622185.1	Longicatena caecimuris	95.4167	96	0.0539991
-	AP024510.1	CIRCULAR	160046	164344	3103757	JANKBG010000024.1	35865	40165	GCA_024622185.1	Longicatena caecimuris	96.5822	96	0.13851
-	AP024510.1	CIRCULAR	164958	178976	3103757	JANKBG010000024.1	21813	35832	GCA_024622185.1	Longicatena caecimuris	97.4001	96	0.451678
-	AP024510.1	CIRCULAR	179111	193161	3103757	JANKBG010000024.1	7581	21624	GCA_024622185.1	Longicatena caecimuris	97.7113	96	0.452709
-	AP024510.1	CIRCULAR	193162	200055	3103757	JANKBG010000024.1	1	6906	GCA_024622185.1	Longicatena caecimuris	97.7113	96	0.222118
-	AP024510.1	CIRCULAR	200056	201322	3103757	JANKBG010000019.1	57657	58923	GCA_024622185.1	Longicatena caecimuris	97.7113	96	0.0408215
-	AP024510.1	CIRCULAR	202157	203840	3103757	JANKBG010000045.1	225	1908	GCA_024622185.1	Longicatena caecimuris	99.8812	96	0.0542568
-	AP024510.1	CIRCULAR	203938	204065	3103757	JANKBG010000045.1	1	127	GCA_024622185.1	Longicatena caecimuris	98.7782	96	0.00412403
-	AP024510.1	CIRCULAR	204066	205970	3103757	JANKBG010000019.1	55752	57656	GCA_024622185.1	Longicatena caecimuris	98.7782	96	0.0613772
-	AP024510.1	CIRCULAR	205971	206556	3103757	JANKBG010000036.1	11548	12133	GCA_024622185.1	Longicatena caecimuris	98.7782	96	0.0188803
-	AP024510.1	CIRCULAR	207388	207512	3103757	JANKBG010000003.1	185546	185670	GCA_024622185.1	Longicatena caecimuris	93.3347	96	0.00402738
-	AP024510.1	CIRCULAR	207513	216802	3103757	JANKBG010000019.1	46481	55751	GCA_024622185.1	Longicatena caecimuris	93.3347	96	0.299315
-	AP024510.1	CIRCULAR	216896	246662	3103757	JANKBG010000019.1	16489	46280	GCA_024622185.1	Longicatena caecimuris	98.7831	96	0.959063
-	AP024510.1	CIRCULAR	246663	246770	3103757	JANKBG010000012.1	33113	33220	GCA_024622185.1	Longicatena caecimuris	98.7831	96	0.00347965
-	AP024510.1	CIRCULAR	248295	248395	3103757	JANKBG010000005.1	870	970	GCA_024622185.1	Longicatena caecimuris	100	96	0.00325412
-	AP024510.1	CIRCULAR	248426	248545	3103757	JANKBG010000005.1	1001	1120	GCA_024622185.1	Longicatena caecimuris	100	96	0.00386628
-	AP024510.1	CIRCULAR	250433	266793	3103757	JANKBG010000019.1	127	16488	GCA_024622185.1	Longicatena caecimuris	99.4596	96	0.527135
-	AP024510.1	CIRCULAR	266794	268381	3103757	JANKBG010000023.1	49019	50606	GCA_024622185.1	Longicatena caecimuris	99.4596	96	0.0511638
-	AP024510.1	CIRCULAR	268778	269112	3103757	JANKBG010000023.1	48288	48622	GCA_024622185.1	Longicatena caecimuris	98.5075	96	0.0107934
-	AP024510.1	CIRCULAR	269174	269915	3103757	JANKBG010000023.1	47486	48228	GCA_024622185.1	Longicatena caecimuris	97.9812	96	0.0239065
-	AP024510.1	CIRCULAR	271825	271951	3103757	JANKBG010000021.1	53680	53806	GCA_024622185.1	Longicatena caecimuris	98.9683	96	0.00409182
-	AP024510.1	CIRCULAR	271952	319479	3103757	JANKBG010000023.1	1	47485	GCA_024622185.1	Longicatena caecimuris	98.9683	96	1.53131
T	AP024510.1	CIRCULAR	319480	319872	3103757	WUUQ01000010.1	113	505	GCA_009831105.1	Copranaerobaculum intestinale	90.9774	96	0.0126621
T	AP024510.1	CIRCULAR	319873	320261	3103757	JAKVPQ010000048.1	24	412	GCA_022487425.1	Amedibacillus hominis	96.8195	96	0.0125332
T	AP024510.1	CIRCULAR	320262	320941	3103757	JAKVPQ010000044.1	1	680	GCA_022487425.1	Amedibacillus hominis	96.8195	96	0.0219089
-	AP024510.1	CIRCULAR	321064	322339	3103757	JANKBG010000048.1	1	1276	GCA_024622185.1	Longicatena caecimuris	99.8433	96	0.0411115
-	AP024510.1	CIRCULAR	322343	323401	3103757	JANKBG010000054.1	1	1059	GCA_024622185.1	Longicatena caecimuris	99.9056	96	0.0341199
T	AP024510.1	CIRCULAR	323402	324116	3103757	JAKVPQ010000036.1	1916	2628	GCA_022487425.1	Amedibacillus hominis	95.1389	96	0.0230366
-	AP024510.1	CIRCULAR	324117	359132	3103757	JANKBG010000026.1	1	35028	GCA_024622185.1	Longicatena caecimuris	99.3583	96	1.12818
-	AP024510.1	CIRCULAR	359133	359319	3103757	JANKBG010000026.1	35116	35302	GCA_024622185.1	Longicatena caecimuris	99.3583	96	0.00602496
-	AP024510.1	CIRCULAR	360960	362795	3103757	JANKBG010000033.1	20095	21930	GCA_024622185.1	Longicatena caecimuris	99.5098	96	0.0591541
T	AP024510.1	CIRCULAR	364103	365989	3103757	ACFY01000094.1	3724	5610	GCA_000174195.1	Roseburia inulinivorans	99.0991	96	0.0607973
-	AP024510.1	CIRCULAR	370855	377352	3103757	JANKBG010000033.1	13597	20094	GCA_024622185.1	Longicatena caecimuris	99.6768	96	0.209359
T	AP024510.1	CIRCULAR	377353	377644	3103757	JBBNJH010000066.1	6280	6571	GCA_040093615.1	Brotaphodocola catenula	98.6301	96	0.00940795
T	AP024510.1	CIRCULAR	377645	378654	3103757	JAOQJY010000031.1	15315	16324	GCA_025567525.1	Gallintestinimicrobium propionicum	99.3069	96	0.0325412
T	AP024510.1	CIRCULAR	378655	383834	3103757	ACFY01000004.1	42566	47744	GCA_000174195.1	Roseburia inulinivorans	97.5869	96	0.166895
T	AP024510.1	CIRCULAR	383835	392432	3103757	JAOQJY010000024.1	1053	9650	GCA_025567525.1	Gallintestinimicrobium propionicum	97.8251	96	0.277019
T	AP024510.1	CIRCULAR	393158	395191	3103757	ACFY01000004.1	31927	33960	GCA_000174195.1	Roseburia inulinivorans	99.705	96	0.0655335
T	AP024510.1	CIRCULAR	395192	401932	3103757	JBBNJH010000086.1	14855	21595	GCA_040093615.1	Brotaphodocola catenula	95.9798	96	0.217188
T	AP024510.1	CIRCULAR	402083	409566	3103757	JAOQJF010000007.1	31942	39432	GCA_025567195.1	Alitiscatomonas aceti	96.0224	96	0.241127
T	AP024510.1	CIRCULAR	409567	409702	3103757	JAOQJY010000024.1	31216	31351	GCA_025567525.1	Gallintestinimicrobium propionicum	97.7941	96	0.00438179
T	AP024510.1	CIRCULAR	409843	411923	3103757	JAKVPQ010000016.1	72563	74643	GCA_022487425.1	Amedibacillus hominis	92.7578	96	0.0670478
T	AP024510.1	CIRCULAR	412330	414329	3103757	ACFY01000004.1	1	2002	GCA_000174195.1	Roseburia inulinivorans	96.8531	96	0.064438
T	AP024510.1	CIRCULAR	414330	414763	3103757	JBBNJH010000125.1	33566	33999	GCA_040093615.1	Brotaphodocola catenula	99.7696	96	0.0139831
T	AP024510.1	CIRCULAR	414764	415965	3103757	ACFY01000174.1	145	1332	GCA_000174195.1	Roseburia inulinivorans	97.421	96	0.0387273
T	AP024510.1	CIRCULAR	415967	417113	3103757	ACFY01000128.1	1	1147	GCA_000174195.1	Roseburia inulinivorans	99.626	96	0.0369552
T	AP024510.1	CIRCULAR	417114	419241	3103757	ACFY01000167.1	1	2128	GCA_000174195.1	Roseburia inulinivorans	99.626	96	0.0685621
T	AP024510.1	CIRCULAR	419242	420511	3103757	ACFY01000167.1	6177	7446	GCA_000174195.1	Roseburia inulinivorans	99.626	96	0.0409182
T	AP024510.1	CIRCULAR	420512	424470	3103757	JAOQJY010000024.1	46344	50301	GCA_025567525.1	Gallintestinimicrobium propionicum	99.2928	96	0.127555
T	AP024510.1	CIRCULAR	424849	427091	3103757	JAOQJY010000024.1	53139	55380	GCA_025567525.1	Gallintestinimicrobium propionicum	75.8909	96	0.0722673
T	AP024510.1	CIRCULAR	428626	433849	3103757	AP019695.1	1499748	1504982	GCA_010537155.1	Amedibacterium intestinale	95.7467	96	0.168312
T	AP024510.1	CIRCULAR	433850	435118	3103757	JAOQKC010000001.1	75534	76803	GCA_025567165.1	Laedolimicola ammoniilytica	96.5382	96	0.0408859
T	AP024510.1	CIRCULAR	437833	437932	3103757	AP019695.1	1498379	1498478	GCA_010537155.1	Amedibacterium intestinale	96	96	0.0032219
T	AP024510.1	CIRCULAR	437933	444641	3103757	DS483462.1	51665	58373	GCA_000154285.1	Amedibacillus dolichus	96.3812	96	0.216157
T	AP024510.1	CIRCULAR	444642	447192	3103757	AP019695.1	1486374	1488915	GCA_010537155.1	Amedibacterium intestinale	90.6385	96	0.0821907
T	AP024510.1	CIRCULAR	447193	448926	3103757	DS483473.1	23494	25227	GCA_000154285.1	Amedibacillus dolichus	94.6943	96	0.0558678
T	AP024510.1	CIRCULAR	448927	450518	3103757	JAOQJY010000037.1	3809	5400	GCA_025567525.1	Gallintestinimicrobium propionicum	96.9055	96	0.0512927
T	AP024510.1	CIRCULAR	450519	450768	3103757	JAOQJY010000036.1	6809	7058	GCA_025567525.1	Gallintestinimicrobium propionicum	96.9055	96	0.00805475
T	AP024510.1	CIRCULAR	450769	453159	3103757	DS483473.1	19261	21651	GCA_000154285.1	Amedibacillus dolichus	96.0268	96	0.0770357
T	AP024510.1	CIRCULAR	453160	454417	3103757	JAOQJY010000036.1	9366	10623	GCA_025567525.1	Gallintestinimicrobium propionicum	96.8312	96	0.0405315
T	AP024510.1	CIRCULAR	454418	456441	3103757	JAOQJY010000037.1	10260	12283	GCA_025567525.1	Gallintestinimicrobium propionicum	96.8312	96	0.0652113
