# Assembly Statistics Report
# Assembly name:  CC00469
# Organism name:  Thomasclavelia ramosa DSM 1402 (firmicutes)
# Isolate:  CC00469
# Taxid:          445974
# BioSample:      SAMEA9956925
# BioProject:     PRJEB45397
# Submitter:      MONASH INSTITUTE OF MEDICAL RESEARCH - MONASH UNIVERSITY
# Date:           2024-08-29
# Assembly type:  na
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    CAXTKX01
# Assembly method: SPAdes
# Genome coverage: 41x
# Sequencing technology: NextSeq 2000
# GenBank assembly accession: GCA_964245115.1
# RefSeq assembly accession: GCF_964245115.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_964245114.1	GCF_964245114.1	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	3593684
all	all	all	all	spanned-gaps	2
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	59
all	all	all	all	scaffold-N50	161563
all	all	all	all	scaffold-L50	8
all	all	all	all	scaffold-N75	111388
all	all	all	all	scaffold-N90	42365
all	all	all	all	contig-count	61
all	all	all	all	contig-N50	161563
all	all	all	all	contig-L50	8
all	all	all	all	total-gap-length	188
all	all	all	all	molecule-count	0
all	all	all	all	top-level-count	59
all	all	all	all	component-count	59
all	all	all	all	gc-perc	31.5
Primary Assembly	all	all	all	total-length	3593684
Primary Assembly	all	all	all	ungapped-length	3593496
Primary Assembly	all	all	all	scaffold-count	59
Primary Assembly	all	all	all	scaffold-N50	161563
Primary Assembly	all	all	all	spanned-gaps	2
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	31.5
Primary Assembly	all	all	assembled-molecule	total-length	0
Primary Assembly	all	all	assembled-molecule	ungapped-length	0
Primary Assembly	all	all	assembled-molecule	scaffold-count	0
Primary Assembly	all	all	assembled-molecule	scaffold-N50	0
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	3593684
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	3593496
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	59
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	161563
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	2
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	31.5
