# ANI ranges report for assembly: GCA_015097455.1
# Submitted organism: Faecalibacillus intestinalis (taxid = 1982626, rank = species, lineage = Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Coprobacillaceae; Faecalibacillus)
# Submitted Organism Has Type Assembly: Yes
# Best match: Faecalibacillus intestinalis (taxid = 1982626, rank = species, lineage = Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Coprobacillaceae; Faecalibacillus)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	AP024085.1	CIRCULAR	1	42347	2869982	PYLQ01000002.1	251057	293410	GCA_003024685.1	Faecalibacillus intestinalis	98.6349	96	1.47551
-	AP024085.1	CIRCULAR	42348	55403	2869982	PYLQ01000006.1	379	13438	GCA_003024685.1	Faecalibacillus intestinalis	98.6349	96	0.454916
-	AP024085.1	CIRCULAR	55413	78167	2869982	PYLQ01000006.1	18776	41503	GCA_003024685.1	Faecalibacillus intestinalis	98.523	96	0.792862
-	AP024085.1	CIRCULAR	78168	89041	2869982	PYLQ01000006.1	43364	54238	GCA_003024685.1	Faecalibacillus intestinalis	98.523	96	0.378887
S	AP024085.1	CIRCULAR	89042	93914	2869982	PYLP01000003.1	232560	237435	GCA_003024675.1	Faecalibacillus faecis	98.9543	96	0.169792
S	AP024085.1	CIRCULAR	98611	101407	2869982	PYLP01000003.1	241160	243956	GCA_003024675.1	Faecalibacillus faecis	98.3196	96	0.0974571
S	AP024085.1	CIRCULAR	103039	103238	2869982	PYLP01000028.1	15544	15743	GCA_003024675.1	Faecalibacillus faecis	94.5	96	0.00696868
S	AP024085.1	CIRCULAR	103239	103488	2869982	JAOQJR010000018.1	22169	22418	GCA_025566905.1	[Clostridium] ammoniilyticum	97.25	96	0.00871086
S	AP024085.1	CIRCULAR	103489	103638	2869982	JAOQJR010000010.1	25491	25640	GCA_025566905.1	[Clostridium] ammoniilyticum	97.25	96	0.00522651
-	AP024085.1	CIRCULAR	103639	114144	2869982	PYLQ01000006.1	54239	64733	GCA_003024685.1	Faecalibacillus intestinalis	98.9471	96	0.366065
-	AP024085.1	CIRCULAR	114145	120817	2869982	PYLQ01000006.1	71910	78593	GCA_003024685.1	Faecalibacillus intestinalis	98.9471	96	0.23251
-	AP024085.1	CIRCULAR	120884	123611	2869982	PYLQ01000006.1	80918	83645	GCA_003024685.1	Faecalibacillus intestinalis	96.7009	96	0.0950529
-	AP024085.1	CIRCULAR	128837	141480	2869982	PYLQ01000006.1	95464	108107	GCA_003024685.1	Faecalibacillus intestinalis	97.7203	96	0.44056
-	AP024085.1	CIRCULAR	141481	147299	2869982	PYLQ01000006.1	109750	115568	GCA_003024685.1	Faecalibacillus intestinalis	97.7203	96	0.202754
S	AP024085.1	CIRCULAR	147300	148395	2869982	PYLP01000003.1	8756	9851	GCA_003024675.1	Faecalibacillus faecis	95.8942	96	0.0381884
-	AP024085.1	CIRCULAR	148444	163662	2869982	PYLQ01000006.1	115569	130783	GCA_003024685.1	Faecalibacillus intestinalis	99.3495	96	0.530282
S	AP024085.1	CIRCULAR	163663	167417	2869982	JAOQJR010000002.1	138389	142136	GCA_025566905.1	[Clostridium] ammoniilyticum	99.4674	96	0.130837
T	AP024085.1	CIRCULAR	167418	167909	2869982	CP101620.1	1202195	1202686	GCA_024399475.1	Allocoprobacillus halotolerans	94.3089	96	0.017143
