# ANI ranges report for assembly: GCA_002081995.1
# Submitted organism: Sporosarcina ureae (taxid = 1571, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Caryophanaceae; Sporosarcina)
# Submitted Organism Has Type Assembly: Yes
# Best match: Sporosarcina ureae (taxid = 1571, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Caryophanaceae; Sporosarcina)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	CP015108.1	CIRCULAR	1	12772	3362333	AUDQ01000014.1	76576	89347	GCA_000425545.1	Sporosarcina ureae	99.9663	96	0.379855
-	CP015108.1	CIRCULAR	12773	68308	3362333	AUDQ01000013.1	1	55536	GCA_000425545.1	Sporosarcina ureae	99.9663	96	1.65171
-	CP015108.1	CIRCULAR	71081	76244	3362333	AUDQ01000013.1	55537	60699	GCA_000425545.1	Sporosarcina ureae	99.9613	96	0.153584
-	CP015108.1	CIRCULAR	79017	136308	3362333	AUDQ01000013.1	60700	117991	GCA_000425545.1	Sporosarcina ureae	100	96	1.70394
-	CP015108.1	CIRCULAR	136907	291366	3362333	AUDQ01000007.1	1	154461	GCA_000425545.1	Sporosarcina ureae	99.9981	96	4.59383
-	CP015108.1	CIRCULAR	291367	292727	3362333	AUDQ01000036.1	1	1361	GCA_000425545.1	Sporosarcina ureae	99.9981	96	0.0404778
-	CP015108.1	CIRCULAR	293238	339315	3362333	AUDQ01000022.1	1	46078	GCA_000425545.1	Sporosarcina ureae	100	96	1.37042
-	CP015108.1	CIRCULAR	340681	345962	3362333	AUDQ01000032.1	1	5282	GCA_000425545.1	Sporosarcina ureae	100	96	0.157093
-	CP015108.1	CIRCULAR	347824	507925	3362333	AUDQ01000006.1	9340	169442	GCA_000425545.1	Sporosarcina ureae	99.9976	96	4.76163
-	CP015108.1	CIRCULAR	507926	517177	3362333	AUDQ01000006.1	1	9252	GCA_000425545.1	Sporosarcina ureae	99.9976	96	0.275166
-	CP015108.1	CIRCULAR	518999	822233	3362333	AUDQ01000002.1	1	303238	GCA_000425545.1	Sporosarcina ureae	99.9984	96	9.01859
-	CP015108.1	CIRCULAR	822892	851906	3362333	AUDQ01000027.1	1	29015	GCA_000425545.1	Sporosarcina ureae	99.9966	96	0.862942
-	CP015108.1	CIRCULAR	852455	883072	3362333	AUDQ01000026.1	1	30628	GCA_000425545.1	Sporosarcina ureae	99.8727	96	0.910618
S	CP015108.1	CIRCULAR	883073	883410	3362333	WHVV01000041.1	78	415	GCA_009650995.1	Sporosarcina cascadiensis	99.0115	96	0.0100525
S	CP015108.1	CIRCULAR	883411	883679	3362333	WHVV01000036.1	975	1243	GCA_009650995.1	Sporosarcina cascadiensis	99.0115	96	0.0080004
S	CP015108.1	CIRCULAR	883680	884333	3362333	WHVW01000054.1	1	654	GCA_009651005.1	Sporosarcina obsidiansis	99.2355	96	0.0194508
S	CP015108.1	CIRCULAR	884334	884653	3362333	WHVV01000036.1	1	320	GCA_009650995.1	Sporosarcina cascadiensis	98.4375	96	0.0095172
S	CP015108.1	CIRCULAR	885396	885711	3362333	WHVW01000059.1	1	316	GCA_009651005.1	Sporosarcina obsidiansis	97.7848	96	0.00939824
S	CP015108.1	CIRCULAR	885783	886021	3362333	WHVV01000053.1	1	248	GCA_009650995.1	Sporosarcina cascadiensis	92	96	0.00710816
S	CP015108.1	CIRCULAR	886184	887341	3362333	WHVW01000020.1	57	1214	GCA_009651005.1	Sporosarcina obsidiansis	98.6183	96	0.0344404
-	CP015108.1	CIRCULAR	887342	1005397	3362333	AUDQ01000012.1	1	118073	GCA_000425545.1	Sporosarcina ureae	99.9839	96	3.51113
-	CP015108.1	CIRCULAR	1006028	1037572	3362333	AUDQ01000024.1	1	31545	GCA_000425545.1	Sporosarcina ureae	99.9968	96	0.938188
-	CP015108.1	CIRCULAR	1039624	1182764	3362333	AUDQ01000009.1	1	143100	GCA_000425545.1	Sporosarcina ureae	99.9616	96	4.25719
S	CP015108.1	CIRCULAR	1185896	1186133	3362333	WHVW01000068.1	1	221	GCA_009651005.1	Sporosarcina obsidiansis	88.0165	96	0.00707842
S	CP015108.1	CIRCULAR	1186134	1186499	3362333	WHVV01000043.1	1	366	GCA_009650995.1	Sporosarcina cascadiensis	97.8142	96	0.0108853
-	CP015108.1	CIRCULAR	1187540	1206865	3362333	AUDQ01000031.1	1	19326	GCA_000425545.1	Sporosarcina ureae	99.9183	96	0.574779
-	CP015108.1	CIRCULAR	1206866	1207117	3362333	AUDQ01000011.1	1	252	GCA_000425545.1	Sporosarcina ureae	99.9183	96	0.0074948
-	CP015108.1	CIRCULAR	1207760	1239076	3362333	AUDQ01000025.1	1	31317	GCA_000425545.1	Sporosarcina ureae	99.9968	96	0.931407
-	CP015108.1	CIRCULAR	1239709	1298441	3362333	AUDQ01000018.1	1	58732	GCA_000425545.1	Sporosarcina ureae	99.9966	96	1.74679
-	CP015108.1	CIRCULAR	1298491	1346822	3362333	AUDQ01000021.1	1	48332	GCA_000425545.1	Sporosarcina ureae	100	96	1.43745
-	CP015108.1	CIRCULAR	1351106	1478925	3362333	AUDQ01000010.1	1	127822	GCA_000425545.1	Sporosarcina ureae	99.9946	96	3.80153
-	CP015108.1	CIRCULAR	1478926	1499133	3362333	AUDQ01000030.1	242	20449	GCA_000425545.1	Sporosarcina ureae	99.9946	96	0.601011
-	CP015108.1	CIRCULAR	1501195	1503955	3362333	AUDQ01000034.1	1	2761	GCA_000425545.1	Sporosarcina ureae	100	96	0.0821156
-	CP015108.1	CIRCULAR	1505986	1530053	3362333	AUDQ01000028.1	1	24068	GCA_000425545.1	Sporosarcina ureae	100	96	0.715813
-	CP015108.1	CIRCULAR	1532065	1603452	3362333	AUDQ01000016.1	1	71389	GCA_000425545.1	Sporosarcina ureae	99.9972	96	2.12317
-	CP015108.1	CIRCULAR	1604053	1751790	3362333	AUDQ01000008.1	1	147704	GCA_000425545.1	Sporosarcina ureae	99.9648	96	4.39391
S	CP015108.1	CIRCULAR	1751791	1752670	3362333	WHVW01000005.1	203514	204393	GCA_009651005.1	Sporosarcina obsidiansis	98.9773	96	0.0261723
