# ANI ranges report for assembly: GCA_025149465.1
# Submitted organism: Thomasclavelia spiroformis DSM 1552 (taxid = 428126, rank = no rank, lineage = Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Coprobacillaceae; Thomasclavelia)
# Submitted Organism Has Type Assembly: Yes
# Best match: Thomasclavelia spiroformis (taxid = 29348, rank = species, lineage = Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Coprobacillaceae; Thomasclavelia)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	CP102275.1	CIRCULAR	1	368912	2528470	DS562854.1	137	369049	GCA_000154805.1	Thomasclavelia spiroformis	99.9976	96	14.5903
-	CP102275.1	CIRCULAR	368913	545682	2528470	DS562845.1	1	176771	GCA_000154805.1	Thomasclavelia spiroformis	99.9976	96	6.99118
-	CP102275.1	CIRCULAR	546140	591592	2528470	DS562845.1	176882	222345	GCA_000154805.1	Thomasclavelia spiroformis	99.8812	96	1.79765
T	CP102275.1	CIRCULAR	591593	591957	2528470	PYLQ01000039.1	1412	1763	GCA_003024685.1	Faecalibacillus intestinalis	76.6234	96	0.0144356
S	CP102275.1	CIRCULAR	591958	592994	2528470	CP065674.1	889366	890404	GCA_016027135.1	Thomasclavelia ramosa	95.9615	96	0.0410129
-	CP102275.1	CIRCULAR	592995	640807	2528470	DS562850.1	3	47805	GCA_000154805.1	Thomasclavelia spiroformis	99.9624	96	1.89099
S	CP102275.1	CIRCULAR	640808	641638	2528470	JANJZZ010000052.1	3176	4064	GCA_024622895.1	Thomasclavelia cocleata	87.291	96	0.0328657
S	CP102275.1	CIRCULAR	641639	644027	2528470	DS499652.1	632	3029	GCA_000154485.1	Thomasclavelia ramosa	95.96	96	0.094484
-	CP102275.1	CIRCULAR	644028	1027528	2528470	DS562853.1	2	383504	GCA_000154805.1	Thomasclavelia spiroformis	99.9931	96	15.1673
-	CP102275.1	CIRCULAR	1027529	1040396	2528470	DS562851.1	127581	140448	GCA_000154805.1	Thomasclavelia spiroformis	99.9931	96	0.508924
-	CP102275.1	CIRCULAR	1040397	1165615	2528470	DS562851.1	1	125219	GCA_000154805.1	Thomasclavelia spiroformis	99.9931	96	4.95236
-	CP102275.1	CIRCULAR	1165637	1382232	2528470	DS562849.1	7	216591	GCA_000154805.1	Thomasclavelia spiroformis	99.9912	96	8.56629
-	CP102275.1	CIRCULAR	1385013	1561428	2528470	DS562846.1	1	176420	GCA_000154805.1	Thomasclavelia spiroformis	99.9836	96	6.97718
-	CP102275.1	CIRCULAR	1566004	1789768	2528470	DS562844.1	18	223784	GCA_000154805.1	Thomasclavelia spiroformis	99.9875	96	8.84982
S	CP102275.1	CIRCULAR	1789769	1791370	2528470	DS499659.1	98	1707	GCA_000154485.1	Thomasclavelia ramosa	94.7923	96	0.0633585
-	CP102275.1	CIRCULAR	1792528	1897519	2528470	DS562844.1	223885	328859	GCA_000154805.1	Thomasclavelia spiroformis	99.9781	96	4.15239
-	CP102275.1	CIRCULAR	1898489	2279114	2528470	DS562848.1	4	380632	GCA_000154805.1	Thomasclavelia spiroformis	99.9903	96	15.0536
S	CP102275.1	CIRCULAR	2279115	2280211	2528470	DS499659.1	226796	227898	GCA_000154485.1	Thomasclavelia ramosa	95.471	96	0.0433859
-	CP102275.1	CIRCULAR	2280625	2385104	2528470	DS562852.1	123	104568	GCA_000154805.1	Thomasclavelia spiroformis	99.9512	96	4.13214
S	CP102275.1	CIRCULAR	2389111	2389266	2528470	JMLH01000017.1	51087	51249	GCA_000686665.1	Thomasclavelia saccharogumia	74.2515	96	0.00616974
S	CP102275.1	CIRCULAR	2389348	2389541	2528470	CP065674.1	876774	876965	GCA_016027135.1	Thomasclavelia ramosa	91.7526	96	0.00767262
S	CP102275.1	CIRCULAR	2394541	2394733	2528470	CP065674.1	892304	892494	GCA_016027135.1	Thomasclavelia ramosa	91.7098	96	0.00763307
S	CP102275.1	CIRCULAR	2394734	2395868	2528470	CAACVM010000044.1	3700	4835	GCA_900660185.1	Thomasclavelia ramosa	98.8556	96	0.0448888
S	CP102275.1	CIRCULAR	2395869	2397625	2528470	CP065674.1	873836	875597	GCA_016027135.1	Thomasclavelia ramosa	95.4108	96	0.0694887
S	CP102275.1	CIRCULAR	2397626	2398601	2528470	VIQR01000024.1	180509	181549	GCA_010206155.1	Thomasclavelia cocleata	88.4432	96	0.0386004
-	CP102275.1	CIRCULAR	2398602	2528470	2528470	DS562854.1	369050	498900	GCA_000154805.1	Thomasclavelia spiroformis	99.9823	96	5.13627
