# ANI ranges report for assembly: GCA_002884495.1
# Submitted organism: Rummeliibacillus pycnus (taxid = 101070, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Caryophanaceae; Rummeliibacillus)
# Submitted Organism Has Type Assembly: Yes
# Best match: Rummeliibacillus suwonensis (taxid = 1306154, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Caryophanaceae; Rummeliibacillus)
# Status: INCONCLUSIVE
# Confidence: LOW
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
S	KZ614145.1	SCAFFOLD	3	127	3851193	JACHHC010000003.1	205204	205326	GCA_014202625.1	Rummeliibacillus stabekisii	92.0635	96	0.00324575
S	KZ614145.1	SCAFFOLD	204	318	3851193	VCBL01000001.1	2980070	2980184	GCA_007896435.1	Rummeliibacillus suwonensis	95.6522	96	0.00298609
T	KZ614145.1	SCAFFOLD	572	730	3851193	BJOB01000110.1	242	402	GCA_006539985.1	Kurthia gibsonii	87.2727	96	0.00412859
S	KZ614145.1	SCAFFOLD	807	1105	3851193	JACHHC010000001.1	1	291	GCA_014202625.1	Rummeliibacillus stabekisii	94.0199	96	0.00776383
S	KZ614145.1	SCAFFOLD	1106	1501	3851193	VCBL01000001.1	587348	587771	GCA_007896435.1	Rummeliibacillus suwonensis	89.6226	96	0.0102825
T	KZ614145.1	SCAFFOLD	1502	1663	3851193	CAEU01000109.1	1	160	GCA_000285555.1	Kurthia massiliensis	98.7654	96	0.00420649
S	KZ614145.1	SCAFFOLD	1664	2185	3851193	VCBL01000001.1	587934	588461	GCA_007896435.1	Rummeliibacillus suwonensis	94.3503	96	0.0135542
S	KZ614145.1	SCAFFOLD	5122	10023	3851193	VCBL01000001.1	591068	595959	GCA_007896435.1	Rummeliibacillus suwonensis	80.3249	96	0.127285
S	KZ614145.1	SCAFFOLD	37202	40599	3851193	VCBL01000001.1	641138	644553	GCA_007896435.1	Rummeliibacillus suwonensis	87.6388	96	0.0882324
S	KZ614145.1	SCAFFOLD	48789	48896	3851193	JACHHC010000008.1	29242	29349	GCA_014202625.1	Rummeliibacillus stabekisii	91.6667	96	0.00280433
