# Assembly name:  ASM798896v1
# Organism name:  Rummeliibacillus stabekisii (firmicutes)
# Infraspecific name:  strain=NBRC 104870
# Taxid:          241244
# BioSample:      SAMD00166034
# BioProject:     PRJDB6211
# Submitter:      National Institute of Technology and Evaluation Biological Resource Center
# Date:           2019-08-01
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    BJVD01
# Assembly method: newbler v. 3.0
# Genome coverage: 75x
# Sequencing technology: Illumina HiSeq 1000
# Relation to type material: assembly from type material
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_007988965.1
# RefSeq assembly accession: GCF_007988965.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_007988975.1	GCF_007988975.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
sequence01	unplaced-scaffold	na	na	BJVD01000001.1	=	NZ_BJVD01000001.1	Primary Assembly	1187738	na
sequence02	unplaced-scaffold	na	na	BJVD01000002.1	=	NZ_BJVD01000002.1	Primary Assembly	392546	na
sequence03	unplaced-scaffold	na	na	BJVD01000003.1	=	NZ_BJVD01000003.1	Primary Assembly	301203	na
sequence04	unplaced-scaffold	na	na	BJVD01000004.1	=	NZ_BJVD01000004.1	Primary Assembly	203532	na
sequence05	unplaced-scaffold	na	na	BJVD01000005.1	=	NZ_BJVD01000005.1	Primary Assembly	159500	na
sequence06	unplaced-scaffold	na	na	BJVD01000006.1	=	NZ_BJVD01000006.1	Primary Assembly	139988	na
sequence07	unplaced-scaffold	na	na	BJVD01000007.1	=	NZ_BJVD01000007.1	Primary Assembly	137494	na
sequence08	unplaced-scaffold	na	na	BJVD01000008.1	=	NZ_BJVD01000008.1	Primary Assembly	136660	na
sequence09	unplaced-scaffold	na	na	BJVD01000009.1	=	NZ_BJVD01000009.1	Primary Assembly	110680	na
sequence10	unplaced-scaffold	na	na	BJVD01000010.1	=	NZ_BJVD01000010.1	Primary Assembly	90744	na
sequence11	unplaced-scaffold	na	na	BJVD01000011.1	=	NZ_BJVD01000011.1	Primary Assembly	88566	na
sequence12	unplaced-scaffold	na	na	BJVD01000012.1	=	NZ_BJVD01000012.1	Primary Assembly	83494	na
sequence13	unplaced-scaffold	na	na	BJVD01000013.1	=	NZ_BJVD01000013.1	Primary Assembly	53030	na
sequence14	unplaced-scaffold	na	na	BJVD01000014.1	=	NZ_BJVD01000014.1	Primary Assembly	51535	na
sequence15	unplaced-scaffold	na	na	BJVD01000015.1	=	NZ_BJVD01000015.1	Primary Assembly	51060	na
sequence16	unplaced-scaffold	na	na	BJVD01000016.1	=	NZ_BJVD01000016.1	Primary Assembly	45599	na
sequence17	unplaced-scaffold	na	na	BJVD01000017.1	=	NZ_BJVD01000017.1	Primary Assembly	10711	na
sequence18	unplaced-scaffold	na	na	BJVD01000018.1	=	NZ_BJVD01000018.1	Primary Assembly	5807	na
sequence19	unplaced-scaffold	na	na	BJVD01000019.1	=	NZ_BJVD01000019.1	Primary Assembly	4396	na
sequence20	unplaced-scaffold	na	na	BJVD01000020.1	=	NZ_BJVD01000020.1	Primary Assembly	3615	na
sequence21	unplaced-scaffold	na	na	BJVD01000021.1	=	NZ_BJVD01000021.1	Primary Assembly	3059	na
sequence22	unplaced-scaffold	na	na	BJVD01000022.1	=	NZ_BJVD01000022.1	Primary Assembly	2326	na
sequence23	unplaced-scaffold	na	na	BJVD01000023.1	=	NZ_BJVD01000023.1	Primary Assembly	1660	na
