# ANI ranges report for assembly: GCA_004367585.1
# Submitted organism: Paenisporosarcina antarctica (taxid = 417367, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Caryophanaceae; Paenisporosarcina)
# Submitted Organism Has Type Assembly: Yes
# Best match: Paenisporosarcina quisquiliarum (taxid = 365346, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Caryophanaceae; Paenisporosarcina)
# Status: INCONCLUSIVE
# Confidence: LOW
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
S	CP038015.1	CIRCULAR	64	174	3897111	JAMKBJ010000016.1	73122	73232	GCA_027563315.1	Paenisporosarcina quisquiliarum	96.3964	96	0.00284826
T	CP038015.1	CIRCULAR	215	466	3897111	VDGI01000001.1	78172	78423	GCA_006861825.1	Psychrobacillus vulpis	92.0949	96	0.00646633
T	CP038015.1	CIRCULAR	1606	1740	3897111	VDGI01000062.1	1431	1567	GCA_006861825.1	Psychrobacillus vulpis	88.4058	96	0.0034641
S	CP038015.1	CIRCULAR	1741	1918	3897111	MPTA01000018.1	493	670	GCA_001939075.1	Paenisporosarcina indica	98.8764	96	0.00456749
S	CP038015.1	CIRCULAR	2167	2497	3897111	MPTA01000018.1	2	331	GCA_001939075.1	Paenisporosarcina indica	98.7915	96	0.00849347
S	CP038015.1	CIRCULAR	2498	3255	3897111	CP032418.1	2372153	2372913	GCA_003595195.1	Paenisporosarcina cavernae	96.3206	96	0.0194503
T	CP038015.1	CIRCULAR	3256	3509	3897111	VDGI01000074.1	1	255	GCA_006861825.1	Psychrobacillus vulpis	95.2941	96	0.00651765
S	CP038015.1	CIRCULAR	3510	5218	3897111	CP032418.1	2370168	2371897	GCA_003595195.1	Paenisporosarcina cavernae	93.9182	96	0.043853
S	CP038015.1	CIRCULAR	5219	5335	3897111	CP032418.1	6811	6927	GCA_003595195.1	Paenisporosarcina cavernae	93.9182	96	0.00300222
S	CP038015.1	CIRCULAR	6862	9104	3897111	JAMKBJ010000008.1	780	3026	GCA_027563315.1	Paenisporosarcina quisquiliarum	80.8085	96	0.0575555
T	CP038015.1	CIRCULAR	109091	109880	3897111	QKZI01000004.1	124092	124881	GCA_003254155.1	Psychrobacillus insolitus	87.3737	96	0.0202714
S	CP038015.1	CIRCULAR	119928	123898	3897111	JAMKBJ010000008.1	77954	81917	GCA_027563315.1	Paenisporosarcina quisquiliarum	80.02	96	0.101896
S	CP038015.1	CIRCULAR	126443	131175	3897111	JAMKBJ010000008.1	85147	89885	GCA_027563315.1	Paenisporosarcina quisquiliarum	84.0589	96	0.121449
S	CP038015.1	CIRCULAR	131176	132569	3897111	MPTA01000008.1	54137	55533	GCA_001939075.1	Paenisporosarcina indica	79.0565	96	0.0357701
S	CP038015.1	CIRCULAR	132690	136922	3897111	JAMKBJ010000008.1	91558	95793	GCA_027563315.1	Paenisporosarcina quisquiliarum	82.9308	96	0.108619
S	CP038015.1	CIRCULAR	137023	137124	3897111	MPTA01000008.1	49525	49628	GCA_001939075.1	Paenisporosarcina indica	69.5238	96	0.00261732
S	CP038015.1	CIRCULAR	137125	142723	3897111	JAMKBJ010000008.1	95873	101472	GCA_027563315.1	Paenisporosarcina quisquiliarum	82.2198	96	0.143671
S	CP038015.1	CIRCULAR	142733	153550	3897111	JAMKBJ010000008.1	101717	112522	GCA_027563315.1	Paenisporosarcina quisquiliarum	90.2288	96	0.27759
S	CP038015.1	CIRCULAR	153583	158448	3897111	JAMKBJ010000008.1	112591	117444	GCA_027563315.1	Paenisporosarcina quisquiliarum	88.0426	96	0.124862
S	CP038015.1	CIRCULAR	169361	185146	3897111	JAMKBJ010000008.1	118069	133848	GCA_027563315.1	Paenisporosarcina quisquiliarum	90.7758	96	0.405069
S	CP038015.1	CIRCULAR	185147	189491	3897111	MPTA01000008.1	6897	11222	GCA_001939075.1	Paenisporosarcina indica	80.4253	96	0.111493
S	CP038015.1	CIRCULAR	192623	193392	3897111	JAMKBJ010000008.1	142294	143063	GCA_027563315.1	Paenisporosarcina quisquiliarum	79.1506	96	0.0197582
T	CP038015.1	CIRCULAR	197628	197779	3897111	VDGI01000008.1	1	156	GCA_006861825.1	Psychrobacillus vulpis	88.6076	96	0.00390033
S	CP038015.1	CIRCULAR	199068	199187	3897111	JAMKBJ010000037.1	1	120	GCA_027563315.1	Paenisporosarcina quisquiliarum	95.8333	96	0.0030792
S	CP038015.1	CIRCULAR	202283	202423	3897111	JAMKBJ010000004.1	256641	256782	GCA_027563315.1	Paenisporosarcina quisquiliarum	87.0748	96	0.00361806
S	CP038015.1	CIRCULAR	202424	202536	3897111	CP032418.1	2143589	2143701	GCA_003595195.1	Paenisporosarcina cavernae	94.6903	96	0.00289958
S	CP038015.1	CIRCULAR	202537	202828	3897111	JAMKBJ010000004.1	256238	256527	GCA_027563315.1	Paenisporosarcina quisquiliarum	92.2297	96	0.00749273
S	CP038015.1	CIRCULAR	202980	203486	3897111	JAMKBJ010000004.1	255653	256147	GCA_027563315.1	Paenisporosarcina quisquiliarum	91.3894	96	0.0130096
S	CP038015.1	CIRCULAR	207432	213746	3897111	JAMKBJ010000004.1	244024	250368	GCA_027563315.1	Paenisporosarcina quisquiliarum	80.0501	96	0.162043
S	CP038015.1	CIRCULAR	214031	220231	3897111	MPTA01000004.1	237846	244056	GCA_001939075.1	Paenisporosarcina indica	80.0674	96	0.159118
S	CP038015.1	CIRCULAR	220549	222709	3897111	JAMKBJ010000004.1	235126	237300	GCA_027563315.1	Paenisporosarcina quisquiliarum	83.5554	96	0.0554513
S	CP038015.1	CIRCULAR	233152	233352	3897111	JAMKBJ010000014.1	36407	36612	GCA_027563315.1	Paenisporosarcina quisquiliarum	90.2913	96	0.00515767
T	CP038015.1	CIRCULAR	260448	264673	3897111	VDGI01000009.1	11549	15781	GCA_006861825.1	Psychrobacillus vulpis	87.0414	96	0.108439
S	CP038015.1	CIRCULAR	279021	279355	3897111	JAMKBJ010000004.1	176626	176956	GCA_027563315.1	Paenisporosarcina quisquiliarum	91.0979	96	0.00859611
S	CP038015.1	CIRCULAR	295656	295904	3897111	JAMKBJ010000004.1	157524	157772	GCA_027563315.1	Paenisporosarcina quisquiliarum	88.3534	96	0.00638935
S	CP038015.1	CIRCULAR	304275	305832	3897111	MPTA01000004.1	127223	128780	GCA_001939075.1	Paenisporosarcina indica	79.5527	96	0.0399783
S	CP038015.1	CIRCULAR	330389	330605	3897111	JAMKBJ010000004.1	121876	122092	GCA_027563315.1	Paenisporosarcina quisquiliarum	90.7834	96	0.00556823
S	CP038015.1	CIRCULAR	335035	339860	3897111	JAMKBJ010000004.1	107785	112608	GCA_027563315.1	Paenisporosarcina quisquiliarum	79.7813	96	0.123835
S	CP038015.1	CIRCULAR	377998	380952	3897111	JAMKBJ010000004.1	61436	64389	GCA_027563315.1	Paenisporosarcina quisquiliarum	81.1511	96	0.0758254
S	CP038015.1	CIRCULAR	390668	394283	3897111	JAMKBJ010000004.1	45860	49511	GCA_027563315.1	Paenisporosarcina quisquiliarum	78.4356	96	0.0927867
S	CP038015.1	CIRCULAR	419951	422700	3897111	JAMKBJ010000004.1	15429	18169	GCA_027563315.1	Paenisporosarcina quisquiliarum	85.3535	96	0.0705651
S	CP038015.1	CIRCULAR	422949	434038	3897111	JAMKBJ010000004.1	4209	15293	GCA_027563315.1	Paenisporosarcina quisquiliarum	80.7854	96	0.28457
S	CP038015.1	CIRCULAR	434051	436846	3897111	JAMKBJ010000004.1	1309	4107	GCA_027563315.1	Paenisporosarcina quisquiliarum	79.658	96	0.0717455
T	CP038015.1	CIRCULAR	436847	436997	3897111	VDGI01000001.1	79266	79419	GCA_006861825.1	Psychrobacillus vulpis	92.9032	96	0.00387467
S	CP038015.1	CIRCULAR	437124	437267	3897111	MPTA01000004.1	626	776	GCA_001939075.1	Paenisporosarcina indica	86.3636	96	0.00369504
S	CP038015.1	CIRCULAR	437268	437927	3897111	JAMKBJ010000004.1	146	811	GCA_027563315.1	Paenisporosarcina quisquiliarum	92.0777	96	0.0169356
S	CP038015.1	CIRCULAR	437988	438114	3897111	JAMKBJ010000004.1	1	127	GCA_027563315.1	Paenisporosarcina quisquiliarum	96.8504	96	0.00325882
S	CP038015.1	CIRCULAR	438115	439666	3897111	CP032418.1	2468083	2469639	GCA_003595195.1	Paenisporosarcina cavernae	95.9615	96	0.0398244
S	CP038015.1	CIRCULAR	439912	442804	3897111	JAMKBJ010000025.1	1818	4712	GCA_027563315.1	Paenisporosarcina quisquiliarum	98.3425	96	0.0742345
T	CP038015.1	CIRCULAR	442895	443063	3897111	VDGI01000001.1	475579	475745	GCA_006861825.1	Psychrobacillus vulpis	88.2353	96	0.00433655
S	CP038015.1	CIRCULAR	444944	451105	3897111	JAMKBJ010000023.1	2418	8589	GCA_027563315.1	Paenisporosarcina quisquiliarum	79.7675	96	0.158117
S	CP038015.1	CIRCULAR	451928	454814	3897111	JAMKBJ010000023.1	9252	12124	GCA_027563315.1	Paenisporosarcina quisquiliarum	85.0983	96	0.0740805
T	CP038015.1	CIRCULAR	455083	455226	3897111	VDGI01000036.1	5517	5662	GCA_006861825.1	Psychrobacillus vulpis	89.0411	96	0.00369504
S	CP038015.1	CIRCULAR	455227	456347	3897111	MPTA01000003.1	255576	256694	GCA_001939075.1	Paenisporosarcina indica	94.1176	96	0.0287649
S	CP038015.1	CIRCULAR	475277	479012	3897111	JAMKBJ010000010.1	58175	61905	GCA_027563315.1	Paenisporosarcina quisquiliarum	79.8454	96	0.0958659
S	CP038015.1	CIRCULAR	489441	491384	3897111	MPTA01000011.1	1778	3717	GCA_001939075.1	Paenisporosarcina indica	82.4373	96	0.0498831
S	CP038015.1	CIRCULAR	491476	492841	3897111	MPTA01000011.1	372	1734	GCA_001939075.1	Paenisporosarcina indica	72.4438	96	0.0350516
