# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_000269565.1	GCF_000269575.1	Primary Assembly	3762	3790
CDS	without_protein	GCF_000269565.1	GCF_000269575.1	Primary Assembly	na	33
gene	RNase_P_RNA	GCF_000269565.1	GCF_000269575.1	Primary Assembly	1	1
gene	SRP_RNA	GCF_000269565.1	GCF_000269575.1	Primary Assembly	1	1
gene	ncRNA	GCF_000269565.1	GCF_000269575.1	Primary Assembly	1	1
gene	protein_coding	GCF_000269565.1	GCF_000269575.1	Primary Assembly	3790	3790
gene	pseudogene	GCF_000269565.1	GCF_000269575.1	Primary Assembly	33	33
gene	rRNA	GCF_000269565.1	GCF_000269575.1	Primary Assembly	12	12
gene	tRNA	GCF_000269565.1	GCF_000269575.1	Primary Assembly	71	71
gene	tmRNA	GCF_000269565.1	GCF_000269575.1	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_000269565.1	GCF_000269575.1	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_000269565.1	GCF_000269575.1	Primary Assembly	na	1
ncRNA	other	GCF_000269565.1	GCF_000269575.1	Primary Assembly	na	1
rRNA		GCF_000269565.1	GCF_000269575.1	Primary Assembly	na	12
tRNA		GCF_000269565.1	GCF_000269575.1	Primary Assembly	na	71
tmRNA		GCF_000269565.1	GCF_000269575.1	Primary Assembly	na	1
