# ANI ranges report for assembly: GCA_008973485.1
# Submitted organism: Psychrobacillus glaciei (taxid = 2283160, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Psychrobacillus)
# Submitted Organism Has Type Assembly: Yes
# Best match: Psychrobacillus vulpis (taxid = 2325572, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Psychrobacillus)
# Status: INCONCLUSIVE
# Confidence: LOW
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
S	CP031223.1	CIRCULAR	1	4098	4332095	JBAWSY010000014.1	69100	73199	GCA_037104765.1	Psychrobacillus mangrovi	87.1533	96	0.0945963
S	CP031223.1	CIRCULAR	4126	9977	4332095	JBAWSY010000014.1	73465	79329	GCA_037104765.1	Psychrobacillus mangrovi	83.5344	96	0.135085
S	CP031223.1	CIRCULAR	9978	10110	4332095	JAIZDB010000062.1	1293	1423	GCA_029533155.1	Psychrobacillus antarcticus	90.2985	96	0.00307011
S	CP031223.1	CIRCULAR	10210	10448	4332095	VDGI01000008.1	169	407	GCA_006861825.1	Psychrobacillus vulpis	99.5816	96	0.00551696
S	CP031223.1	CIRCULAR	10449	10719	4332095	JAIZDB010000031.1	56264	56534	GCA_029533155.1	Psychrobacillus antarcticus	100	96	0.00625563
S	CP031223.1	CIRCULAR	10720	10868	4332095	JAIZDB010000078.1	150	298	GCA_029533155.1	Psychrobacillus antarcticus	100	96	0.00343944
S	CP031223.1	CIRCULAR	11140	11394	4332095	VDGG01000001.1	205734	205988	GCA_006861775.1	Psychrobacillus soli	100	96	0.0058863
S	CP031223.1	CIRCULAR	11637	11745	4332095	VDGI01000001.1	76634	76742	GCA_006861825.1	Psychrobacillus vulpis	97.2477	96	0.0025161
S	CP031223.1	CIRCULAR	11898	12032	4332095	JBAWSY010000049.1	548	682	GCA_037104765.1	Psychrobacillus mangrovi	97.7778	96	0.00311628
S	CP031223.1	CIRCULAR	12033	12997	4332095	VDGG01000001.1	203713	204677	GCA_006861775.1	Psychrobacillus soli	99.171	96	0.0222756
S	CP031223.1	CIRCULAR	12998	13252	4332095	VDGI01000074.1	1	255	GCA_006861825.1	Psychrobacillus vulpis	100	96	0.0058863
S	CP031223.1	CIRCULAR	13253	13431	4332095	BMIE01000028.1	686	864	GCA_014641675.1	Psychrobacillus lasiicapitis	96.648	96	0.00413195
S	CP031223.1	CIRCULAR	13432	14136	4332095	JAMKBK010000034.1	1551	2256	GCA_027563345.1	Psychrobacillus psychrodurans	99.0085	96	0.0162739
S	CP031223.1	CIRCULAR	14137	14716	4332095	BMIE01000030.1	1	580	GCA_014641675.1	Psychrobacillus lasiicapitis	100	96	0.0133884
S	CP031223.1	CIRCULAR	14717	14842	4332095	JBAWSY010000001.1	644538	644664	GCA_037104765.1	Psychrobacillus mangrovi	98.4252	96	0.00290852
S	CP031223.1	CIRCULAR	14889	15017	4332095	JAMKBK010000050.1	82	212	GCA_027563345.1	Psychrobacillus psychrodurans	88.843	96	0.00297777
S	CP031223.1	CIRCULAR	15018	15128	4332095	JAMKBK010000049.1	255	365	GCA_027563345.1	Psychrobacillus psychrodurans	88.843	96	0.00256227
S	CP031223.1	CIRCULAR	16316	16826	4332095	VDGG01000073.1	579	1090	GCA_006861775.1	Psychrobacillus soli	74.3243	96	0.0117957
S	CP031223.1	CIRCULAR	16827	23181	4332095	JBAWSY010000035.1	9156	15513	GCA_037104765.1	Psychrobacillus mangrovi	84.1454	96	0.146696
S	CP031223.1	CIRCULAR	23183	27644	4332095	JBAWSY010000035.1	4526	9006	GCA_037104765.1	Psychrobacillus mangrovi	82.7924	96	0.102999
S	CP031223.1	CIRCULAR	27645	27755	4332095	JACSQO010000019.1	11934	12044	GCA_014836595.1	Psychrobacillus faecigallinarum	85.7143	96	0.00256227
S	CP031223.1	CIRCULAR	27780	27908	4332095	JACSQO010000019.1	12071	12199	GCA_014836595.1	Psychrobacillus faecigallinarum	95.3488	96	0.00297777
S	CP031223.1	CIRCULAR	27909	28013	4332095	VDGG01000073.1	12640	12720	GCA_006861775.1	Psychrobacillus soli	59.2593	96	0.00242377
S	CP031223.1	CIRCULAR	28014	31933	4332095	JBAWSY010000035.1	45	3976	GCA_037104765.1	Psychrobacillus mangrovi	85.5553	96	0.0904874
S	CP031223.1	CIRCULAR	31934	32150	4332095	JAMKBK010000037.1	1361	1579	GCA_027563345.1	Psychrobacillus psychrodurans	98.1735	96	0.00500912
S	CP031223.1	CIRCULAR	32151	33557	4332095	JBAWSY010000047.1	1	1407	GCA_037104765.1	Psychrobacillus mangrovi	98.9347	96	0.0324785
S	CP031223.1	CIRCULAR	36451	36576	4332095	JAIZDB010000062.1	1	126	GCA_029533155.1	Psychrobacillus antarcticus	95.3191	96	0.00290852
