# Assembly name:  ASM345908v1
# Organism name:  Holdemania filiformis (firmicutes)
# Infraspecific name:  strain=AF24-29
# Taxid:          61171
# BioSample:      SAMN09734472
# BioProject:     PRJNA482748
# Submitter:      BGI
# Date:           2018-09-05
# Assembly type:  na
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    QRUP01
# Assembly method: SOAPdenovo v. 2
# Expected final version: yes
# Genome coverage: 100x
# Sequencing technology: Illumina Hiseq
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_003459085.1
# RefSeq assembly accession: GCF_003459085.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003459095.1	GCF_003459095.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
AF24-29.Scaf1	unplaced-scaffold	na	na	QRUP01000001.1	=	NZ_QRUP01000001.1	Primary Assembly	412255	na
AF24-29.Scaf2	unplaced-scaffold	na	na	QRUP01000002.1	=	NZ_QRUP01000002.1	Primary Assembly	276669	na
AF24-29.Scaf3	unplaced-scaffold	na	na	QRUP01000003.1	=	NZ_QRUP01000003.1	Primary Assembly	225279	na
AF24-29.Scaf4	unplaced-scaffold	na	na	QRUP01000004.1	=	NZ_QRUP01000004.1	Primary Assembly	211686	na
AF24-29.Scaf5	unplaced-scaffold	na	na	QRUP01000005.1	=	NZ_QRUP01000005.1	Primary Assembly	168529	na
AF24-29.Scaf6	unplaced-scaffold	na	na	QRUP01000006.1	=	NZ_QRUP01000006.1	Primary Assembly	164745	na
AF24-29.Scaf7	unplaced-scaffold	na	na	QRUP01000007.1	=	NZ_QRUP01000007.1	Primary Assembly	160537	na
AF24-29.Scaf8	unplaced-scaffold	na	na	QRUP01000008.1	=	NZ_QRUP01000008.1	Primary Assembly	155325	na
AF24-29.Scaf9	unplaced-scaffold	na	na	QRUP01000009.1	=	NZ_QRUP01000009.1	Primary Assembly	141100	na
AF24-29.Scaf10	unplaced-scaffold	na	na	QRUP01000010.1	=	NZ_QRUP01000010.1	Primary Assembly	134728	na
AF24-29.Scaf11	unplaced-scaffold	na	na	QRUP01000011.1	=	NZ_QRUP01000011.1	Primary Assembly	125842	na
AF24-29.Scaf12	unplaced-scaffold	na	na	QRUP01000012.1	=	NZ_QRUP01000012.1	Primary Assembly	118207	na
AF24-29.Scaf13	unplaced-scaffold	na	na	QRUP01000013.1	=	NZ_QRUP01000013.1	Primary Assembly	116837	na
AF24-29.Scaf14	unplaced-scaffold	na	na	QRUP01000014.1	=	NZ_QRUP01000014.1	Primary Assembly	113602	na
AF24-29.Scaf15	unplaced-scaffold	na	na	QRUP01000015.1	=	NZ_QRUP01000015.1	Primary Assembly	87038	na
AF24-29.Scaf16	unplaced-scaffold	na	na	QRUP01000016.1	=	NZ_QRUP01000016.1	Primary Assembly	84468	na
AF24-29.Scaf17	unplaced-scaffold	na	na	QRUP01000017.1	=	NZ_QRUP01000017.1	Primary Assembly	80843	na
AF24-29.Scaf18	unplaced-scaffold	na	na	QRUP01000018.1	=	NZ_QRUP01000018.1	Primary Assembly	80281	na
AF24-29.Scaf19	unplaced-scaffold	na	na	QRUP01000019.1	=	NZ_QRUP01000019.1	Primary Assembly	73116	na
AF24-29.Scaf20	unplaced-scaffold	na	na	QRUP01000020.1	=	NZ_QRUP01000020.1	Primary Assembly	70458	na
AF24-29.Scaf21	unplaced-scaffold	na	na	QRUP01000021.1	=	NZ_QRUP01000021.1	Primary Assembly	68625	na
AF24-29.Scaf22	unplaced-scaffold	na	na	QRUP01000022.1	=	NZ_QRUP01000022.1	Primary Assembly	67605	na
AF24-29.Scaf23	unplaced-scaffold	na	na	QRUP01000023.1	=	NZ_QRUP01000023.1	Primary Assembly	64378	na
AF24-29.Scaf24	unplaced-scaffold	na	na	QRUP01000024.1	=	NZ_QRUP01000024.1	Primary Assembly	63674	na
AF24-29.Scaf25	unplaced-scaffold	na	na	QRUP01000025.1	=	NZ_QRUP01000025.1	Primary Assembly	59728	na
AF24-29.Scaf26	unplaced-scaffold	na	na	QRUP01000026.1	=	NZ_QRUP01000026.1	Primary Assembly	48370	na
AF24-29.Scaf27	unplaced-scaffold	na	na	QRUP01000027.1	=	NZ_QRUP01000027.1	Primary Assembly	48175	na
AF24-29.Scaf28	unplaced-scaffold	na	na	QRUP01000028.1	=	NZ_QRUP01000028.1	Primary Assembly	47826	na
AF24-29.Scaf29	unplaced-scaffold	na	na	QRUP01000029.1	=	NZ_QRUP01000029.1	Primary Assembly	47462	na
AF24-29.Scaf30	unplaced-scaffold	na	na	QRUP01000030.1	=	NZ_QRUP01000030.1	Primary Assembly	45385	na
AF24-29.Scaf31	unplaced-scaffold	na	na	QRUP01000031.1	=	NZ_QRUP01000031.1	Primary Assembly	34423	na
AF24-29.Scaf32	unplaced-scaffold	na	na	QRUP01000032.1	=	NZ_QRUP01000032.1	Primary Assembly	31326	na
AF24-29.Scaf33	unplaced-scaffold	na	na	QRUP01000033.1	=	NZ_QRUP01000033.1	Primary Assembly	30868	na
AF24-29.Scaf34	unplaced-scaffold	na	na	QRUP01000034.1	=	NZ_QRUP01000034.1	Primary Assembly	25756	na
AF24-29.Scaf35	unplaced-scaffold	na	na	QRUP01000035.1	=	NZ_QRUP01000035.1	Primary Assembly	20192	na
AF24-29.Scaf36	unplaced-scaffold	na	na	QRUP01000036.1	=	NZ_QRUP01000036.1	Primary Assembly	8556	na
AF24-29.Scaf37	unplaced-scaffold	na	na	QRUP01000037.1	=	NZ_QRUP01000037.1	Primary Assembly	8487	na
AF24-29.Scaf38	unplaced-scaffold	na	na	QRUP01000038.1	=	NZ_QRUP01000038.1	Primary Assembly	7543	na
AF24-29.Scaf39	unplaced-scaffold	na	na	QRUP01000039.1	=	NZ_QRUP01000039.1	Primary Assembly	3832	na
AF24-29.Scaf40	unplaced-scaffold	na	na	QRUP01000040.1	=	NZ_QRUP01000040.1	Primary Assembly	3084	na
AF24-29.Scaf41	unplaced-scaffold	na	na	QRUP01000041.1	=	NZ_QRUP01000041.1	Primary Assembly	1556	na
AF24-29.Scaf42	unplaced-scaffold	na	na	QRUP01000042.1	=	NZ_QRUP01000042.1	Primary Assembly	1529	na
AF24-29.Scaf43	unplaced-scaffold	na	na	QRUP01000043.1	=	NZ_QRUP01000043.1	Primary Assembly	1380	na
AF24-29.Scaf44	unplaced-scaffold	na	na	QRUP01000044.1	=	NZ_QRUP01000044.1	Primary Assembly	957	na
AF24-29.Scaf45	unplaced-scaffold	na	na	QRUP01000045.1	=	NZ_QRUP01000045.1	Primary Assembly	765	na
AF24-29.Scaf46	unplaced-scaffold	na	na	QRUP01000046.1	=	NZ_QRUP01000046.1	Primary Assembly	701	na
AF24-29.Scaf47	unplaced-scaffold	na	na	QRUP01000047.1	=	NZ_QRUP01000047.1	Primary Assembly	574	na
AF24-29.Scaf48	unplaced-scaffold	na	na	QRUP01000048.1	=	NZ_QRUP01000048.1	Primary Assembly	554	na
