# ANI ranges report for assembly: GCA_008807035.1
# Submitted organism: Psychrobacillus sp. AK 1817 (taxid = 2303505, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Psychrobacillus)
# Submitted Organism Has Type Assembly: No
# Best match: Psychrobacillus faecigallinarum (taxid = 2762235, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Psychrobacillus)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	CP031739.1	CIRCULAR	7306	48758	4096020	JACSQO010000002.1	291260	332712	GCA_014836595.1	Psychrobacillus faecigallinarum	99.5007	96	1.01203
-	CP031739.1	CIRCULAR	60009	261849	4096020	JACSQO010000002.1	343980	545800	GCA_014836595.1	Psychrobacillus faecigallinarum	99.5073	96	4.92773
-	CP031739.1	CIRCULAR	261850	277175	4096020	JACSQO010000002.1	546629	561953	GCA_014836595.1	Psychrobacillus faecigallinarum	99.5073	96	0.374168
-	CP031739.1	CIRCULAR	277176	282110	4096020	JACSQO010000002.1	562039	566973	GCA_014836595.1	Psychrobacillus faecigallinarum	99.5073	96	0.120483
-	CP031739.1	CIRCULAR	282111	282400	4096020	JACSQO010000011.1	5998	6287	GCA_014836595.1	Psychrobacillus faecigallinarum	99.5073	96	0.00708004
-	CP031739.1	CIRCULAR	282408	282517	4096020	JAIZDB010000055.1	10725	10822	GCA_029533155.1	Psychrobacillus antarcticus	87.2727	96	0.00268553
-	CP031739.1	CIRCULAR	282518	282622	4096020	VDGI01000005.1	97460	97564	GCA_006861825.1	Psychrobacillus vulpis	99.0476	96	0.00256346
-	CP031739.1	CIRCULAR	282623	282809	4096020	VDGG01000014.1	98509	98697	GCA_006861775.1	Psychrobacillus soli	91.5344	96	0.00456541
-	CP031739.1	CIRCULAR	282839	282944	4096020	JAIZDB010000013.1	94406	94511	GCA_029533155.1	Psychrobacillus antarcticus	90.7407	96	0.00258788
-	CP031739.1	CIRCULAR	282945	283777	4096020	JAMKBK010000022.1	19941	20766	GCA_027563345.1	Psychrobacillus psychrodurans	93.1573	96	0.0203368
-	CP031739.1	CIRCULAR	283778	283880	4096020	CP031223.1	3214996	3215098	GCA_008973485.1	Psychrobacillus glaciei	98.0583	96	0.00251464
-	CP031739.1	CIRCULAR	283881	284096	4096020	JAMKBK010000022.1	19622	19837	GCA_027563345.1	Psychrobacillus psychrodurans	92.1296	96	0.00527341
-	CP031739.1	CIRCULAR	284097	284232	4096020	JAIZDB010000055.1	12408	12543	GCA_029533155.1	Psychrobacillus antarcticus	98.5294	96	0.0033203
-	CP031739.1	CIRCULAR	284238	284346	4096020	CP031223.1	585908	586017	GCA_008973485.1	Psychrobacillus glaciei	95.4545	96	0.00266112
-	CP031739.1	CIRCULAR	284365	284717	4096020	JACSQO010000002.1	566974	567326	GCA_014836595.1	Psychrobacillus faecigallinarum	100	96	0.00861812
-	CP031739.1	CIRCULAR	284724	284840	4096020	BMIE01000014.1	37217	37333	GCA_014641675.1	Psychrobacillus lasiicapitis	99.1453	96	0.00285643
-	CP031739.1	CIRCULAR	284842	285225	4096020	VDGH01000004.1	330374	330758	GCA_006861795.1	Psychrobacillus lasiicapitis	91.9481	96	0.00937495
-	CP031739.1	CIRCULAR	286310	291214	4096020	JACSQO010000002.1	573345	578244	GCA_014836595.1	Psychrobacillus faecigallinarum	98.9395	96	0.11975
-	CP031739.1	CIRCULAR	291215	291631	4096020	JACSQO010000031.1	78	494	GCA_014836595.1	Psychrobacillus faecigallinarum	98.9395	96	0.0101806
-	CP031739.1	CIRCULAR	291632	293287	4096020	JACSQO010000011.1	1	1656	GCA_014836595.1	Psychrobacillus faecigallinarum	98.9395	96	0.0404295
-	CP031739.1	CIRCULAR	293579	294649	4096020	JACSQO010000027.1	1	1072	GCA_014836595.1	Psychrobacillus faecigallinarum	99.4403	96	0.0261473
-	CP031739.1	CIRCULAR	294650	294986	4096020	CP031223.1	3214658	3214994	GCA_008973485.1	Psychrobacillus glaciei	97.6261	96	0.0082275
-	CP031739.1	CIRCULAR	295037	376457	4096020	JACSQO010000004.1	248059	329518	GCA_014836595.1	Psychrobacillus faecigallinarum	98.6057	96	1.98781
-	CP031739.1	CIRCULAR	376458	386977	4096020	JACSQO010000004.1	237351	247883	GCA_014836595.1	Psychrobacillus faecigallinarum	98.6057	96	0.256835
-	CP031739.1	CIRCULAR	387074	407525	4096020	JACSQO010000004.1	216539	236997	GCA_014836595.1	Psychrobacillus faecigallinarum	99.3548	96	0.499314
-	CP031739.1	CIRCULAR	407595	463785	4096020	JACSQO010000004.1	160327	216538	GCA_014836595.1	Psychrobacillus faecigallinarum	99.1415	96	1.37184
-	CP031739.1	CIRCULAR	463909	465938	4096020	JACSQO010000004.1	158277	160326	GCA_014836595.1	Psychrobacillus faecigallinarum	93.6678	96	0.0495603
-	CP031739.1	CIRCULAR	466935	476881	4096020	JACSQO010000004.1	144014	154000	GCA_014836595.1	Psychrobacillus faecigallinarum	98.9231	96	0.242845
-	CP031739.1	CIRCULAR	476882	535131	4096020	JACSQO010000004.1	85651	143931	GCA_014836595.1	Psychrobacillus faecigallinarum	98.9231	96	1.42211
-	CP031739.1	CIRCULAR	535132	536503	4096020	JACSQO010000004.1	82606	83975	GCA_014836595.1	Psychrobacillus faecigallinarum	98.9231	96	0.0334959
-	CP031739.1	CIRCULAR	536504	536666	4096020	JACSQO010000004.1	82317	82479	GCA_014836595.1	Psychrobacillus faecigallinarum	98.9231	96	0.00397947
-	CP031739.1	CIRCULAR	536745	537180	4096020	VDGI01000049.1	2485	2920	GCA_006861825.1	Psychrobacillus vulpis	94.0367	96	0.0106445
-	CP031739.1	CIRCULAR	537341	537851	4096020	JAMKBK010000014.1	46720	47231	GCA_027563345.1	Psychrobacillus psychrodurans	86.7446	96	0.0124755
-	CP031739.1	CIRCULAR	538166	541188	4096020	JACSQO010000004.1	78924	81954	GCA_014836595.1	Psychrobacillus faecigallinarum	97.3945	96	0.0738034
-	CP031739.1	CIRCULAR	546396	546575	4096020	JAIZDB010000002.1	199601	199780	GCA_029533155.1	Psychrobacillus antarcticus	91.6667	96	0.00439451
