# ANI ranges report for assembly: GCA_007988965.1
# Submitted organism: Rummeliibacillus stabekisii (taxid = 241244, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Caryophanaceae; Rummeliibacillus)
# Submitted Organism Has Type Assembly: Yes
# Best match: Rummeliibacillus stabekisii (taxid = 241244, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Caryophanaceae; Rummeliibacillus)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	BJVD01000001.1	CONTIG	1	1187738	1187738	JACHHC010000001.1	496118	1683854	GCA_014202625.1	Rummeliibacillus stabekisii	99.9994	96	100
-	BJVD01000002.1	CONTIG	83	391347	392546	JACHHC010000001.1	1683855	2075119	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	99.6737
-	BJVD01000002.1	CONTIG	391348	392546	392546	JACHHC010000001.1	2075366	2076564	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	0.305442
-	BJVD01000003.1	CONTIG	1	301203	301203	JACHHC010000001.1	1271	302509	GCA_014202625.1	Rummeliibacillus stabekisii	99.988	96	100
-	BJVD01000004.1	CONTIG	1	203532	203532	JACHHC010000003.1	174	203705	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	100
-	BJVD01000005.1	CONTIG	1	17243	159500	JACHHC010000006.1	77820	95062	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	10.8107
-	BJVD01000005.1	CONTIG	17244	81829	159500	JACHHC010000006.1	95217	159802	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	40.4928
-	BJVD01000005.1	CONTIG	81830	159500	159500	JACHHC010000006.1	1	77671	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	48.6966
-	BJVD01000006.1	CONTIG	1	139988	139988	JACHHC010000001.1	303726	443713	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	100
-	BJVD01000007.1	CONTIG	1	137494	137494	JACHHC010000005.1	53526	191019	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	100
-	BJVD01000008.1	CONTIG	2	136660	136660	JACHHC010000002.1	92153	228811	GCA_014202625.1	Rummeliibacillus stabekisii	99.9985	96	99.9993
-	BJVD01000009.1	CONTIG	1	110680	110680	JACHHC010000004.1	91502	202181	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	100
-	BJVD01000010.1	CONTIG	1	90744	90744	JACHHC010000004.1	96	90839	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	100
-	BJVD01000011.1	CONTIG	1	88566	88566	JACHHC010000002.1	82	88647	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	100
-	BJVD01000012.1	CONTIG	1	83494	83494	JACHHC010000007.1	242	83735	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	100
-	BJVD01000013.1	CONTIG	1	53030	53030	JACHHC010000005.1	73	53102	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	100
-	BJVD01000014.1	CONTIG	1	51535	51535	JACHHC010000001.1	443921	495455	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	100
-	BJVD01000015.1	CONTIG	1	51060	51060	JACHHC010000008.1	95	51154	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	100
-	BJVD01000016.1	CONTIG	1	45599	45599	JACHHC010000009.1	79	45677	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	100
-	BJVD01000017.1	CONTIG	1	10711	10711	JACHHC010000010.1	4588	15298	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	100
-	BJVD01000018.1	CONTIG	1	5807	5807	JACHHC010000011.1	173	5979	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	100
-	BJVD01000019.1	CONTIG	1	4396	4396	JACHHC010000010.1	95	4490	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	100
-	BJVD01000020.1	CONTIG	1	3615	3615	JACHHC010000012.1	92	3706	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	100
-	BJVD01000021.1	CONTIG	1	2719	3059	JACHHC010000001.1	2078034	2080752	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	88.8853
S	BJVD01000021.1	CONTIG	2720	2950	3059	KZ614145.1	2715309	2715539	GCA_002884495.1	Rummeliibacillus pycnus	95.671	96	7.55149
T	BJVD01000021.1	CONTIG	2951	3059	3059	LILB01000018.1	2941	3033	GCA_001274945.1	Viridibacillus arvi	79.8165	96	3.56326
-	BJVD01000022.1	CONTIG	1	2326	2326	JACHHC010000002.1	89210	91535	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	100
-	BJVD01000023.1	CONTIG	1	1623	1660	JACHHC010000002.1	228813	230435	GCA_014202625.1	Rummeliibacillus stabekisii	100	96	97.7711
