# ANI ranges report for assembly: GCA_964245115.1
# Submitted organism: Thomasclavelia ramosa DSM 1402 (taxid = 445974, rank = no rank, lineage = Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Coprobacillaceae; Thomasclavelia)
# Submitted Organism Has Type Assembly: Yes
# Best match: Thomasclavelia ramosa (taxid = 1547, rank = species, lineage = Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Coprobacillaceae; Thomasclavelia)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	CAXTKX010000001.1	CONTIG	1	238118	366757	DS499655.1	91845	329969	GCA_000154485.1	Thomasclavelia ramosa	99.8371	96	64.9253
-	CAXTKX010000001.1	CONTIG	257353	334450	366757	DS499655.1	3347	80451	GCA_000154485.1	Thomasclavelia ramosa	99.8029	96	21.0215
S	CAXTKX010000001.1	CONTIG	356197	362537	366757	JANJZZ010000012.1	32389	38742	GCA_024622895.1	Thomasclavelia cocleata	77.8836	96	1.72894
S	CAXTKX010000001.1	CONTIG	363252	364529	366757	JANJZZ010000012.1	30273	31559	GCA_024622895.1	Thomasclavelia cocleata	83.0116	96	0.34846
-	CAXTKX010000002.1	CONTIG	1	222886	320212	DS499656.1	360	223262	GCA_000154485.1	Thomasclavelia ramosa	99.8426	96	69.6058
-	CAXTKX010000002.1	CONTIG	222887	240152	320212	DS499656.1	234348	251597	GCA_000154485.1	Thomasclavelia ramosa	99.8426	96	5.39205
-	CAXTKX010000002.1	CONTIG	240253	255209	320212	DS499656.1	251598	266554	GCA_000154485.1	Thomasclavelia ramosa	99.8399	96	4.67097
-	CAXTKX010000002.1	CONTIG	255210	320212	320212	DS499656.1	271312	336319	GCA_000154485.1	Thomasclavelia ramosa	99.8399	96	20.3
-	CAXTKX010000003.1	CONTIG	1	122479	229445	DS499655.1	330910	453389	GCA_000154485.1	Thomasclavelia ramosa	99.8653	96	53.3805
-	CAXTKX010000003.1	CONTIG	122483	217620	229445	DS499655.1	453447	548585	GCA_000154485.1	Thomasclavelia ramosa	99.8802	96	41.4644
-	CAXTKX010000004.1	CONTIG	1	63536	225677	CAACVM010000003.1	176637	240172	GCA_900660185.1	Thomasclavelia ramosa	99.7904	96	28.1535
-	CAXTKX010000004.1	CONTIG	63537	192412	225677	CAACVM010000003.1	47755	176585	GCA_900660185.1	Thomasclavelia ramosa	99.7904	96	57.1064
-	CAXTKX010000004.1	CONTIG	192413	214194	225677	CAACVM010000003.1	25891	47670	GCA_900660185.1	Thomasclavelia ramosa	99.7904	96	9.65185
-	CAXTKX010000004.1	CONTIG	224514	225190	225677	CAACVM010000003.1	25213	25890	GCA_900660185.1	Thomasclavelia ramosa	98.6726	96	0.299986
-	CAXTKX010000004.1	CONTIG	225307	225677	225677	CAACVM010000003.1	24799	25169	GCA_900660185.1	Thomasclavelia ramosa	98.9218	96	0.164394
-	CAXTKX010000005.1	CONTIG	1	32587	217390	CAACVM010000007.1	51	32637	GCA_900660185.1	Thomasclavelia ramosa	99.704	96	14.9901
-	CAXTKX010000005.1	CONTIG	32588	108399	217390	CAACVM010000007.1	32880	108720	GCA_900660185.1	Thomasclavelia ramosa	99.704	96	34.8737
-	CAXTKX010000005.1	CONTIG	108671	150802	217390	CAACVM010000007.1	109001	151134	GCA_900660185.1	Thomasclavelia ramosa	99.5587	96	19.3808
-	CAXTKX010000005.1	CONTIG	150806	215490	217390	CAACVM010000021.1	296	64993	GCA_900660185.1	Thomasclavelia ramosa	99.8253	96	29.7553
-	CAXTKX010000005.1	CONTIG	215645	217390	217390	CAACVM010000050.1	209	1967	GCA_900660185.1	Thomasclavelia ramosa	99.0904	96	0.803165
-	CAXTKX010000006.1	CONTIG	1	191744	205549	CAACVM010000004.1	280	192061	GCA_900660185.1	Thomasclavelia ramosa	99.8053	96	93.2838
-	CAXTKX010000006.1	CONTIG	191745	205415	205549	CAACVM010000013.1	84858	98518	GCA_900660185.1	Thomasclavelia ramosa	99.8053	96	6.65097
-	CAXTKX010000006.1	CONTIG	205424	205547	205549	CAACVM010000030.1	1	124	GCA_900660185.1	Thomasclavelia ramosa	99.1935	96	0.0603262
-	CAXTKX010000007.1	CONTIG	1	44961	179793	DS499657.1	195596	240581	GCA_000154485.1	Thomasclavelia ramosa	99.6221	96	25.0071
-	CAXTKX010000007.1	CONTIG	44962	55286	179793	DS499657.1	185218	195543	GCA_000154485.1	Thomasclavelia ramosa	99.6221	96	5.74272
-	CAXTKX010000007.1	CONTIG	55357	68811	179793	DS499657.1	171392	184857	GCA_000154485.1	Thomasclavelia ramosa	99.7178	96	7.48361
S	CAXTKX010000007.1	CONTIG	85449	87111	179793	PHNQ01000019.1	5378	7021	GCA_002803405.1	Thomasclavelia cocleata	93.8175	96	0.924953
S	CAXTKX010000007.1	CONTIG	87112	91681	179793	JMLH01000037.1	16374	20938	GCA_000686665.1	Thomasclavelia saccharogumia	95.1653	96	2.54181
S	CAXTKX010000007.1	CONTIG	91682	92282	179793	JMLH01000056.1	231	831	GCA_000686665.1	Thomasclavelia saccharogumia	95.1653	96	0.334273
S	CAXTKX010000007.1	CONTIG	92442	93403	179793	JMLH01000007.1	293	1252	GCA_000686665.1	Thomasclavelia saccharogumia	96.9886	96	0.53506
T	CAXTKX010000007.1	CONTIG	107659	107962	179793	SMCQ01000001.1	319077	319381	GCA_004343035.1	Longibaculum muris	93.7705	96	0.169083
T	CAXTKX010000007.1	CONTIG	109173	111169	179793	SMCQ01000024.1	2399	4396	GCA_004343035.1	Longibaculum muris	85.4718	96	1.11072
-	CAXTKX010000007.1	CONTIG	116851	171211	179793	DS499657.1	117029	171391	GCA_000154485.1	Thomasclavelia ramosa	99.7094	96	30.2353
-	CAXTKX010000007.1	CONTIG	178362	179793	179793	DS499657.1	115597	117028	GCA_000154485.1	Thomasclavelia ramosa	99.7207	96	0.796471
