# ANI ranges report for assembly: GCA_003459085.1
# Submitted organism: Holdemania filiformis (taxid = 61171, rank = species, lineage = Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Holdemania)
# Submitted Organism Has Type Assembly: Yes
# Best match: Holdemania filiformis (taxid = 61171, rank = species, lineage = Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Holdemania)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	QRUP01000001.1	CONTIG	10317	12407	412255	GG657556.1	322394	324482	GCA_000157995.1	Holdemania filiformis	88.5074	96	0.50721
-	QRUP01000001.1	CONTIG	17297	18520	412255	GG657561.1	234470	235692	GCA_000157995.1	Holdemania filiformis	96.1601	96	0.296904
-	QRUP01000001.1	CONTIG	18541	24221	412255	GG657561.1	228714	234386	GCA_000157995.1	Holdemania filiformis	95.2373	96	1.37803
-	QRUP01000001.1	CONTIG	27355	31707	412255	GG657561.1	224262	228624	GCA_000157995.1	Holdemania filiformis	96.6134	96	1.0559
-	QRUP01000001.1	CONTIG	31708	33719	412255	GG657561.1	211196	213203	GCA_000157995.1	Holdemania filiformis	96.6134	96	0.488047
-	QRUP01000001.1	CONTIG	33907	39718	412255	GG657561.1	204928	210740	GCA_000157995.1	Holdemania filiformis	97.163	96	1.40981
-	QRUP01000001.1	CONTIG	41373	51208	412255	GG657561.1	193036	202871	GCA_000157995.1	Holdemania filiformis	97.4176	96	2.3859
-	QRUP01000001.1	CONTIG	51229	76610	412255	GG657561.1	167406	192765	GCA_000157995.1	Holdemania filiformis	97.3813	96	6.15687
-	QRUP01000001.1	CONTIG	76910	77860	412255	GG657561.1	159152	160102	GCA_000157995.1	Holdemania filiformis	97.5764	96	0.230682
-	QRUP01000001.1	CONTIG	77861	87931	412255	GG657561.1	146593	156663	GCA_000157995.1	Holdemania filiformis	97.5764	96	2.44291
-	QRUP01000001.1	CONTIG	87932	107519	412255	GG657561.1	126832	146406	GCA_000157995.1	Holdemania filiformis	97.5764	96	4.75143
-	QRUP01000001.1	CONTIG	107641	127596	412255	GG657561.1	106882	126831	GCA_000157995.1	Holdemania filiformis	97.8408	96	4.84069
-	QRUP01000001.1	CONTIG	127644	129693	412255	GG657561.1	104602	106651	GCA_000157995.1	Holdemania filiformis	97.8412	96	0.497265
-	QRUP01000001.1	CONTIG	129694	132090	412255	GG657561.1	101980	104376	GCA_000157995.1	Holdemania filiformis	97.8412	96	0.581436
-	QRUP01000001.1	CONTIG	132176	144041	412255	GG657561.1	86688	98545	GCA_000157995.1	Holdemania filiformis	97.3463	96	2.87832
-	QRUP01000001.1	CONTIG	145569	163809	412255	GG657561.1	68043	86281	GCA_000157995.1	Holdemania filiformis	97.5332	96	4.42469
-	QRUP01000001.1	CONTIG	204359	205438	412255	GG657561.1	66963	68042	GCA_000157995.1	Holdemania filiformis	97.2381	96	0.261974
-	QRUP01000001.1	CONTIG	205439	224334	412255	GG657561.1	47919	66817	GCA_000157995.1	Holdemania filiformis	97.2381	96	4.58357
-	QRUP01000001.1	CONTIG	224501	246065	412255	GG657561.1	24368	45931	GCA_000157995.1	Holdemania filiformis	96.9354	96	5.23099
-	QRUP01000001.1	CONTIG	247598	251085	412255	GG657561.1	20592	24077	GCA_000157995.1	Holdemania filiformis	96.7603	96	0.846078
S	QRUP01000001.1	CONTIG	251086	251195	412255	HE998567.1	147238	147347	GCA_000327285.1	Holdemania massiliensis	86.3636	96	0.0266825
