# ANI ranges report for assembly: GCA_002370195.2
# Submitted organism: Ureibacillus thermosphaericus (taxid = 51173, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Caryophanaceae; Ureibacillus)
# Submitted Organism Has Type Assembly: Yes
# Best match: Ureibacillus thermosphaericus (taxid = 51173, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Caryophanaceae; Ureibacillus)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	AP018335.1	CIRCULAR	4512	4692	3488104	JAAXPW010000010.1	13619	13800	GCA_012396605.1	Ureibacillus thermosphaericus	96.1538	96	0.00518907
S	AP018335.1	CIRCULAR	7949	9240	3488104	JBHSNQ010000176.1	17187	18485	GCA_042655065.1	Ureibacillus suwonensis	82.8089	96	0.0370402
-	AP018335.1	CIRCULAR	18138	18285	3488104	JAAXPW010000010.1	1	148	GCA_012396605.1	Ureibacillus thermosphaericus	100	96	0.00424299
S	AP018335.1	CIRCULAR	18286	18411	3488104	JBHSNQ010000034.1	227	352	GCA_042655065.1	Ureibacillus suwonensis	100	96	0.00361228
-	AP018335.1	CIRCULAR	18412	18681	3488104	JAAXPW010000002.1	29476	29745	GCA_012396605.1	Ureibacillus thermosphaericus	99.4819	96	0.00774059
-	AP018335.1	CIRCULAR	18682	18797	3488104	JAAXPW010000029.1	1	116	GCA_012396605.1	Ureibacillus thermosphaericus	99.4819	96	0.00332559
-	AP018335.1	CIRCULAR	18818	20779	3488104	JAAXPW010000029.1	137	2098	GCA_012396605.1	Ureibacillus thermosphaericus	99.5923	96	0.0562483
-	AP018335.1	CIRCULAR	20814	21080	3488104	JACHGZ010000028.1	37734	38018	GCA_014202525.1	Ureibacillus thermosphaericus	89.8246	96	0.00765459
-	AP018335.1	CIRCULAR	21156	21299	3488104	JAAXPW010000029.1	2979	3131	GCA_012396605.1	Ureibacillus thermosphaericus	84.6154	96	0.00412832
S	AP018335.1	CIRCULAR	21300	21461	3488104	JBHSNQ010000015.1	5006	5158	GCA_042655065.1	Ureibacillus suwonensis	70.5521	96	0.00464436
-	AP018335.1	CIRCULAR	21462	21661	3488104	JAAXPW010000029.1	3330	3529	GCA_012396605.1	Ureibacillus thermosphaericus	99	96	0.00573377
S	AP018335.1	CIRCULAR	21814	21928	3488104	JBHSNQ010000015.1	5520	5643	GCA_042655065.1	Ureibacillus suwonensis	77.7778	96	0.00329692
-	AP018335.1	CIRCULAR	21929	42293	3488104	JAAXPW010000029.1	4166	24548	GCA_012396605.1	Ureibacillus thermosphaericus	99.235	96	0.583842
-	AP018335.1	CIRCULAR	43582	43707	3488104	JAAXPW010000052.1	12001	12126	GCA_012396605.1	Ureibacillus thermosphaericus	98.5911	96	0.00361228
-	AP018335.1	CIRCULAR	43708	49664	3488104	JAAXPW010000029.1	24549	30509	GCA_012396605.1	Ureibacillus thermosphaericus	98.5911	96	0.17078
-	AP018335.1	CIRCULAR	49665	49849	3488104	JAAXPW010000029.1	35386	35571	GCA_012396605.1	Ureibacillus thermosphaericus	98.5911	96	0.00530374
-	AP018335.1	CIRCULAR	49850	52085	3488104	JAAXPW010000029.1	35625	37859	GCA_012396605.1	Ureibacillus thermosphaericus	98.5911	96	0.0641036
S	AP018335.1	CIRCULAR	52086	52763	3488104	JBHSNQ010000171.1	6277	6954	GCA_042655065.1	Ureibacillus suwonensis	98.7897	96	0.0194375
S	AP018335.1	CIRCULAR	52764	53049	3488104	JBHSNQ010000171.1	7904	8189	GCA_042655065.1	Ureibacillus suwonensis	98.7897	96	0.0081993
S	AP018335.1	CIRCULAR	53050	55799	3488104	JBHSNQ010000171.1	9573	12325	GCA_042655065.1	Ureibacillus suwonensis	98.7897	96	0.0788394
-	AP018335.1	CIRCULAR	55800	58959	3488104	JAAXPW010000044.1	8604	11737	GCA_012396605.1	Ureibacillus thermosphaericus	98.038	96	0.0905936
S	AP018335.1	CIRCULAR	58962	59061	3488104	JBHSNQ010000044.1	22509	22608	GCA_042655065.1	Ureibacillus suwonensis	98	96	0.00286689
-	AP018335.1	CIRCULAR	59600	59979	3488104	JAAXPW010000044.1	11738	12115	GCA_012396605.1	Ureibacillus thermosphaericus	96.8421	96	0.0108942
S	AP018335.1	CIRCULAR	59980	60743	3488104	JBHSNN010000076.1	9709	10468	GCA_042657185.1	Ureibacillus thermophilus	88.4817	96	0.021903
-	AP018335.1	CIRCULAR	61301	63330	3488104	JAAXPW010000044.1	13426	15458	GCA_012396605.1	Ureibacillus thermosphaericus	99.3606	96	0.0581978
S	AP018335.1	CIRCULAR	63339	63574	3488104	JBHSNN010000014.1	1	236	GCA_042657185.1	Ureibacillus thermophilus	94.9153	96	0.00676585
S	AP018335.1	CIRCULAR	63993	68702	3488104	JBHSNQ010000016.1	10889	15599	GCA_042655065.1	Ureibacillus suwonensis	98.6205	96	0.13503
-	AP018335.1	CIRCULAR	71083	71468	3488104	JAAXPW010000013.1	51690	52075	GCA_012396605.1	Ureibacillus thermosphaericus	98.1865	96	0.0110662
-	AP018335.1	CIRCULAR	71500	73464	3488104	JAAXPW010000044.1	15746	17714	GCA_012396605.1	Ureibacillus thermosphaericus	99.6953	96	0.0563343
-	AP018335.1	CIRCULAR	76053	77823	3488104	JAAXPW010000013.1	69055	70825	GCA_012396605.1	Ureibacillus thermosphaericus	98.9859	96	0.0507726
S	AP018335.1	CIRCULAR	77878	79258	3488104	JBHSNQ010000121.1	1	1381	GCA_042655065.1	Ureibacillus suwonensis	99.7828	96	0.0395917
