# ANI ranges report for assembly: GCA_003049645.1
# Submitted organism: Metasolibacillus fluoroglycofenilyticus (taxid = 1239396, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Caryophanaceae; Metasolibacillus)
# Submitted Organism Has Type Assembly: Yes
# Best match: Bacillus ndiopicus (taxid = 1347368, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus)
# Status: INCONCLUSIVE
# Confidence: LOW
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
T	PYWK01000001.1	CONTIG	1	163	2280247	HG964415.1	1	163	GCA_000612805.1	Bacillus ndiopicus	96.9325	96	0.00714835
T	PYWK01000001.1	CONTIG	374	478	2280247	HG964407.1	365917	366021	GCA_000612805.1	Bacillus ndiopicus	99.0476	96	0.00460476
T	PYWK01000001.1	CONTIG	1370	3165	2280247	HG964403.1	511	2305	GCA_000612805.1	Bacillus ndiopicus	85.5	96	0.0787634
T	PYWK01000001.1	CONTIG	7462	8455	2280247	HG964403.1	8107	9100	GCA_000612805.1	Bacillus ndiopicus	86.2312	96	0.0435918
T	PYWK01000001.1	CONTIG	9448	12183	2280247	HG964403.1	9764	12511	GCA_000612805.1	Bacillus ndiopicus	83.4182	96	0.119987
T	PYWK01000001.1	CONTIG	12353	13384	2280247	HG964403.1	14316	15350	GCA_000612805.1	Bacillus ndiopicus	86.7308	96	0.0452583
T	PYWK01000001.1	CONTIG	13696	19533	2280247	HG964403.1	15361	21197	GCA_000612805.1	Bacillus ndiopicus	86.999	96	0.256025
T	PYWK01000001.1	CONTIG	26893	29834	2280247	HG964403.1	27613	30546	GCA_000612805.1	Bacillus ndiopicus	82.4365	96	0.129021
T	PYWK01000001.1	CONTIG	33609	35095	2280247	HG964403.1	33725	35211	GCA_000612805.1	Bacillus ndiopicus	86.0215	96	0.0652122
T	PYWK01000001.1	CONTIG	35412	38499	2280247	HG964403.1	35269	38356	GCA_000612805.1	Bacillus ndiopicus	87.0269	96	0.135424
