# ANI ranges report for assembly: GCA_000154285.1
# Submitted organism: Amedibacillus dolichus DSM 3991 (taxid = 428127, rank = no rank, lineage = Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Amedibacillus)
# Submitted Organism Has Type Assembly: Yes
# Best match: Brotaphodocola catenula (taxid = 2885361, rank = species, lineage = Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae; Brotaphodocola)
# Status: INCONCLUSIVE
# Confidence: LOW
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
T	DS483460.1	SCAFFOLD	21	701	107844	JAOQKC010000001.1	112087	112767	GCA_025567165.1	Laedolimicola ammoniilytica	96.3289	96	0.631468
T	DS483460.1	SCAFFOLD	702	1230	107844	JAOQJY010000037.1	10610	11138	GCA_025567525.1	Gallintestinimicrobium propionicum	97.3535	96	0.490523
T	DS483460.1	SCAFFOLD	1231	2672	107844	JAOQKC010000013.1	3550	4991	GCA_025567165.1	Laedolimicola ammoniilytica	96.6019	96	1.33712
T	DS483460.1	SCAFFOLD	2673	3096	107844	JACRTB010000063.1	1795	2218	GCA_014385025.1	Yanshouia hominis	93.3962	96	0.39316
T	DS483460.1	SCAFFOLD	3097	3904	107844	JAOQKC010000028.1	32437	33244	GCA_025567165.1	Laedolimicola ammoniilytica	95.4208	96	0.74923
T	DS483460.1	SCAFFOLD	4018	5008	107844	JAOQKC010000001.1	115981	116972	GCA_025567165.1	Laedolimicola ammoniilytica	94.4556	96	0.91892
T	DS483460.1	SCAFFOLD	5009	5127	107844	JAVYJB010000017.1	66035	66153	GCA_032490495.1	Pilosibacter fragilis	97.2789	96	0.110345
T	DS483460.1	SCAFFOLD	5128	5623	107844	JAVYJB010000065.1	120	615	GCA_032490495.1	Pilosibacter fragilis	97.2789	96	0.459924
T	DS483460.1	SCAFFOLD	5624	5742	107844	JAVYJB010000015.1	75302	75420	GCA_032490495.1	Pilosibacter fragilis	97.2789	96	0.110345
T	DS483460.1	SCAFFOLD	5743	6254	107844	JAOQKC010000001.1	117707	118218	GCA_025567165.1	Laedolimicola ammoniilytica	95.7031	96	0.47476
