# ANI ranges report for assembly: GCA_000269565.1
# Submitted organism: Coprobacillus cateniformis (taxid = 100884, rank = species, lineage = Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Coprobacillaceae; Coprobacillus)
# Submitted Organism Has Type Assembly: Yes
# Best match: Coprobacillus cateniformis (taxid = 100884, rank = species, lineage = Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Coprobacillaceae; Coprobacillus)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	AKCB01000001.1	CONTIG	1	163	2786946	WSNW01000030.1	372	534	GCA_009767585.1	Coprobacillus cateniformis	100	96	0.0058487
-	AKCB01000001.1	CONTIG	164	322	2786946	BBDT01000007.1	104311	104469	GCA_001312445.1	Coprobacillus cateniformis	100	96	0.00570517
-	AKCB01000001.1	CONTIG	323	232768	2786946	WSNW01000001.1	3375052	3607461	GCA_009767585.1	Coprobacillus cateniformis	98.8038	96	8.34053
-	AKCB01000001.1	CONTIG	234805	298479	2786946	WSNW01000001.1	3311373	3375051	GCA_009767585.1	Coprobacillus cateniformis	99.0359	96	2.28476
-	AKCB01000001.1	CONTIG	298514	304592	2786946	WSNW01000001.1	3305189	3311265	GCA_009767585.1	Coprobacillus cateniformis	96.6277	96	0.218124
T	AKCB01000001.1	CONTIG	304593	305322	2786946	CP102275.1	624404	625141	GCA_025149465.1	Thomasclavelia spiroformis	80.0266	96	0.0261935
-	AKCB01000001.1	CONTIG	305323	315486	2786946	WSNW01000001.1	3295021	3305188	GCA_009767585.1	Coprobacillus cateniformis	93.4513	96	0.3647
-	AKCB01000001.1	CONTIG	320407	321774	2786946	WSNW01000001.1	2571314	2572683	GCA_009767585.1	Coprobacillus cateniformis	99.854	96	0.049086
-	AKCB01000001.1	CONTIG	323211	338145	2786946	WSNW01000001.1	3273937	3288857	GCA_009767585.1	Coprobacillus cateniformis	95.113	96	0.535891
-	AKCB01000001.1	CONTIG	338231	475408	2786946	WSNW01000001.1	3133910	3271087	GCA_009767585.1	Coprobacillus cateniformis	99.6581	96	4.92216
-	AKCB01000001.1	CONTIG	475417	476777	2786946	WSNW01000004.1	1	1361	GCA_009767585.1	Coprobacillus cateniformis	99.9921	96	0.0488348
-	AKCB01000001.1	CONTIG	476778	525862	2786946	WSNW01000001.1	3084825	3133909	GCA_009767585.1	Coprobacillus cateniformis	99.9921	96	1.76125
-	AKCB01000001.1	CONTIG	527577	595369	2786946	WSNW01000001.1	3017030	3084824	GCA_009767585.1	Coprobacillus cateniformis	99.3552	96	2.43252
-	AKCB01000001.1	CONTIG	595370	645425	2786946	WSNW01000001.1	2966712	3016767	GCA_009767585.1	Coprobacillus cateniformis	99.3552	96	1.79609
T	AKCB01000001.1	CONTIG	645427	647045	2786946	CP102275.1	2286787	2288403	GCA_025149465.1	Thomasclavelia spiroformis	90.1356	96	0.0580923
-	AKCB01000001.1	CONTIG	647046	766824	2786946	WSNW01000001.1	2846932	2966711	GCA_009767585.1	Coprobacillus cateniformis	99.9866	96	4.29786
-	AKCB01000001.1	CONTIG	768541	789118	2786946	WSNW01000001.1	2826353	2846931	GCA_009767585.1	Coprobacillus cateniformis	99.7036	96	0.738371
-	AKCB01000001.1	CONTIG	791775	795517	2786946	WSNW01000001.1	2821678	2825421	GCA_009767585.1	Coprobacillus cateniformis	96.0053	96	0.134305
-	AKCB01000001.1	CONTIG	795518	811190	2786946	WSNW01000001.1	2805759	2821437	GCA_009767585.1	Coprobacillus cateniformis	96.0053	96	0.562372
-	AKCB01000001.1	CONTIG	812317	812976	2786946	WSNW01000001.1	2804558	2805206	GCA_009767585.1	Coprobacillus cateniformis	87.4242	96	0.0236818
-	AKCB01000001.1	CONTIG	813401	822705	2786946	WSNW01000001.1	2794924	2804214	GCA_009767585.1	Coprobacillus cateniformis	98.7066	96	0.333878
-	AKCB01000001.1	CONTIG	822706	851567	2786946	WSNW01000001.1	2765840	2794706	GCA_009767585.1	Coprobacillus cateniformis	98.7066	96	1.03561
-	AKCB01000001.1	CONTIG	851748	856409	2786946	WSNW01000001.1	2756511	2761167	GCA_009767585.1	Coprobacillus cateniformis	84.4336	96	0.16728
-	AKCB01000001.1	CONTIG	856412	868761	2786946	WSNW01000001.1	2729658	2741994	GCA_009767585.1	Coprobacillus cateniformis	89.7849	96	0.443137
-	AKCB01000001.1	CONTIG	878382	897015	2786946	WSNW01000001.1	2707513	2726143	GCA_009767585.1	Coprobacillus cateniformis	91.8912	96	0.668617
-	AKCB01000001.1	CONTIG	897373	911181	2786946	WSNW01000001.1	2693514	2707320	GCA_009767585.1	Coprobacillus cateniformis	97.3214	96	0.495489
T	AKCB01000001.1	CONTIG	911182	911288	2786946	PYLP01000009.1	11096	11200	GCA_003024675.1	Faecalibacillus faecis	96.2617	96	0.00383933
-	AKCB01000001.1	CONTIG	911289	915694	2786946	WSNW01000001.1	2689034	2693406	GCA_009767585.1	Coprobacillus cateniformis	91.5911	96	0.158094
-	AKCB01000001.1	CONTIG	915784	917359	2786946	WSNW01000028.1	1	1576	GCA_009767585.1	Coprobacillus cateniformis	99.6827	96	0.0565494
T	AKCB01000001.1	CONTIG	931418	932813	2786946	JANKBF010000001.1	59922	61321	GCA_024622235.1	Longibaculum muris	83.8917	96	0.0500907
-	AKCB01000001.1	CONTIG	937670	943508	2786946	WSNW01000001.1	2666620	2672457	GCA_009767585.1	Coprobacillus cateniformis	94.6584	96	0.209512
T	AKCB01000001.1	CONTIG	943510	945017	2786946	CP102275.1	1471869	1473375	GCA_025149465.1	Thomasclavelia spiroformis	89.9404	96	0.0541094
T	AKCB01000001.1	CONTIG	945018	945128	2786946	JAKVPQ010000025.1	25174	25284	GCA_022487425.1	Amedibacillus hominis	95.4955	96	0.00398285
-	AKCB01000001.1	CONTIG	945129	948215	2786946	WSNW01000001.1	2663532	2666619	GCA_009767585.1	Coprobacillus cateniformis	95.6325	96	0.110766
-	AKCB01000001.1	CONTIG	948903	962906	2786946	WSNW01000001.1	2649026	2663029	GCA_009767585.1	Coprobacillus cateniformis	93.2924	96	0.502486
-	AKCB01000001.1	CONTIG	963029	964431	2786946	WSNW01000001.1	2647601	2649001	GCA_009767585.1	Coprobacillus cateniformis	94.5118	96	0.0503418
-	AKCB01000001.1	CONTIG	964474	987264	2786946	WSNW01000001.1	2624540	2647329	GCA_009767585.1	Coprobacillus cateniformis	97.8048	96	0.817777
-	AKCB01000001.1	CONTIG	987265	989196	2786946	WSNW01000001.1	2618721	2620652	GCA_009767585.1	Coprobacillus cateniformis	97.8048	96	0.0693232
-	AKCB01000001.1	CONTIG	990028	1035983	2786946	WSNW01000001.1	2572684	2618639	GCA_009767585.1	Coprobacillus cateniformis	99.9543	96	1.64897
T	AKCB01000001.1	CONTIG	1038336	1038455	2786946	JAKVPQ010000012.1	1	120	GCA_022487425.1	Amedibacillus hominis	95.8333	96	0.00430579
T	AKCB01000001.1	CONTIG	1038456	1039962	2786946	CP102275.1	779348	780853	GCA_025149465.1	Thomasclavelia spiroformis	89.8675	96	0.0540735
-	AKCB01000001.1	CONTIG	1087739	1088101	2786946	WSNW01000010.1	282	644	GCA_009767585.1	Coprobacillus cateniformis	99.9688	96	0.013025
-	AKCB01000001.1	CONTIG	1088102	1164558	2786946	WSNW01000001.1	2487484	2563940	GCA_009767585.1	Coprobacillus cateniformis	99.9688	96	2.7434
T	AKCB01000001.1	CONTIG	1164559	1165296	2786946	JAKVPQ010000029.1	1	738	GCA_022487425.1	Amedibacillus hominis	99.5249	96	0.0264806
T	AKCB01000001.1	CONTIG	1165297	1165710	2786946	JAKVPQ010000046.1	120	533	GCA_022487425.1	Amedibacillus hominis	99.5249	96	0.014855
T	AKCB01000001.1	CONTIG	1165711	1166242	2786946	JAKVPQ010000010.1	1	532	GCA_022487425.1	Amedibacillus hominis	99.5249	96	0.019089
T	AKCB01000001.1	CONTIG	1166243	1167174	2786946	JAOQJR010000015.1	41613	42544	GCA_025566905.1	[Clostridium] ammoniilyticum	98.3906	96	0.0334416
T	AKCB01000001.1	CONTIG	1167175	1183467	2786946	JAKVPQ010000010.1	1465	17786	GCA_022487425.1	Amedibacillus hominis	99.1791	96	0.584618
T	AKCB01000001.1	CONTIG	1183468	1188446	2786946	JACRWG010000003.1	96676	101635	GCA_014306455.1	Catenibacterium faecis	94.2084	96	0.178654
T	AKCB01000001.1	CONTIG	1188447	1188571	2786946	CP102275.1	1101160	1101284	GCA_025149465.1	Thomasclavelia spiroformis	98.4	96	0.0044852
T	AKCB01000001.1	CONTIG	1188572	1188740	2786946	JACRWG010000003.1	101761	101930	GCA_014306455.1	Catenibacterium faecis	92.9412	96	0.00606399
-	AKCB01000001.1	CONTIG	1188746	1418396	2786946	WSNW01000001.1	2257808	2487483	GCA_009767585.1	Coprobacillus cateniformis	99.6437	96	8.24024
-	AKCB01000001.1	CONTIG	1418397	1418529	2786946	WSNW01000011.1	1	133	GCA_009767585.1	Coprobacillus cateniformis	99.6437	96	0.00477225
-	AKCB01000001.1	CONTIG	1418737	1420580	2786946	WSNW01000022.1	116	1959	GCA_009767585.1	Coprobacillus cateniformis	99.8479	96	0.0661656
-	AKCB01000001.1	CONTIG	1420581	1575199	2786946	WSNW01000001.1	2103189	2257807	GCA_009767585.1	Coprobacillus cateniformis	99.8479	96	5.54797
-	AKCB01000001.1	CONTIG	1575205	1589935	2786946	WSNW01000001.1	2087624	2102361	GCA_009767585.1	Coprobacillus cateniformis	99.3691	96	0.528571
-	AKCB01000001.1	CONTIG	1590049	1719339	2786946	WSNW01000001.1	1957136	2086431	GCA_009767585.1	Coprobacillus cateniformis	99.9582	96	4.63916
T	AKCB01000001.1	CONTIG	1720993	1721224	2786946	FNWC01000007.1	129062	129293	GCA_900104635.1	Coprococcus phoceensis	93.1034	96	0.00832452
T	AKCB01000001.1	CONTIG	1721225	1722763	2786946	JAKVPQ010000001.1	24233	25773	GCA_022487425.1	Amedibacillus hominis	96.9903	96	0.0552217
T	AKCB01000001.1	CONTIG	1722764	1722983	2786946	JAKVPQ010000008.1	78901	79120	GCA_022487425.1	Amedibacillus hominis	96.9903	96	0.00789395
T	AKCB01000001.1	CONTIG	1722984	1723739	2786946	PYLP01000003.1	74466	75221	GCA_003024675.1	Faecalibacillus faecis	100	96	0.0271265
T	AKCB01000001.1	CONTIG	1723745	1724419	2786946	PYLP01000003.1	75227	75901	GCA_003024675.1	Faecalibacillus faecis	100	96	0.0242201
-	AKCB01000001.1	CONTIG	1724424	1835652	2786946	WSNW01000001.1	1845905	1957135	GCA_009767585.1	Coprobacillus cateniformis	99.9036	96	3.99107
