# ANI ranges report for assembly: GCA_900109165.1
# Submitted organism: Bhargavaea ginsengi (taxid = 426757, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Caryophanaceae; Bhargavaea)
# Submitted Organism Has Type Assembly: Yes
# Best match: Bhargavaea cecembensis (taxid = 394098, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Caryophanaceae; Bhargavaea)
# Status: INCONCLUSIVE
# Confidence: LOW
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
S	FNZF01000001.1	CONTIG	372	539	1086746	AOFT01000002.1	278	446	GCA_000348905.1	Bhargavaea cecembensis	79.5322	96	0.015459
S	FNZF01000001.1	CONTIG	7850	10939	1086746	JBHTCT010000021.1	13922	17012	GCA_042665595.1	Bhargavaea changchunensis	84.1597	96	0.284335
S	FNZF01000001.1	CONTIG	11306	11571	1086746	JBHTCT010000013.1	1	266	GCA_042665595.1	Bhargavaea changchunensis	94.7368	96	0.0244767
S	FNZF01000001.1	CONTIG	11696	11795	1086746	AOFT01000016.1	62118	62217	GCA_000348905.1	Bhargavaea cecembensis	93.5	96	0.00920178
S	FNZF01000001.1	CONTIG	11796	12294	1086746	AOFT01000017.1	101	600	GCA_000348905.1	Bhargavaea cecembensis	93.5	96	0.0459169
S	FNZF01000001.1	CONTIG	12353	17168	1086746	AOFT01000002.1	8764	13580	GCA_000348905.1	Bhargavaea cecembensis	86.8018	96	0.443158
S	FNZF01000001.1	CONTIG	17398	30347	1086746	AOFT01000002.1	14993	27954	GCA_000348905.1	Bhargavaea cecembensis	79.484	96	1.19163
S	FNZF01000001.1	CONTIG	30582	35186	1086746	AOFT01000002.1	28239	32818	GCA_000348905.1	Bhargavaea cecembensis	83.5358	96	0.423742
S	FNZF01000001.1	CONTIG	35187	35326	1086746	JAHBCJ010000014.1	24555	24694	GCA_018390575.1	Bhargavaea massiliensis	71.5278	96	0.0128825
S	FNZF01000001.1	CONTIG	38597	38851	1086746	FNAR01000004.1	24428	24680	GCA_900101985.1	Bhargavaea beijingensis	88.6275	96	0.0234645
