# Assembly name:  CC00469
# Organism name:  Thomasclavelia ramosa DSM 1402 (firmicutes)
# Isolate:  CC00469
# Taxid:          445974
# BioSample:      SAMEA9956925
# BioProject:     PRJEB45397
# Submitter:      MONASH INSTITUTE OF MEDICAL RESEARCH - MONASH UNIVERSITY
# Date:           2024-08-29
# Assembly type:  na
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    CAXTKX01
# Assembly method: SPAdes
# Genome coverage: 41x
# Sequencing technology: NextSeq 2000
# GenBank assembly accession: GCA_964245115.1
# RefSeq assembly accession: GCF_964245115.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_964245114.1	GCF_964245114.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
CC00469_1_NODE_1_length_366757_cov_247.254530	unplaced-scaffold	na	na	CAXTKX010000001.1	=	NZ_CAXTKX010000001.1	Primary Assembly	366757	na
CC00469_2_NODE_2_length_320212_cov_267.591747	unplaced-scaffold	na	na	CAXTKX010000002.1	=	NZ_CAXTKX010000002.1	Primary Assembly	320212	na
CC00469_3_NODE_3_length_229445_cov_250.574771	unplaced-scaffold	na	na	CAXTKX010000003.1	=	NZ_CAXTKX010000003.1	Primary Assembly	229445	na
CC00469_4_NODE_4_length_225677_cov_217.194854	unplaced-scaffold	na	na	CAXTKX010000004.1	=	NZ_CAXTKX010000004.1	Primary Assembly	225677	na
CC00469_5_NODE_5_length_217390_cov_213.933221	unplaced-scaffold	na	na	CAXTKX010000005.1	=	NZ_CAXTKX010000005.1	Primary Assembly	217390	na
CC00469_6_NODE_6_length_205549_cov_244.101352	unplaced-scaffold	na	na	CAXTKX010000006.1	=	NZ_CAXTKX010000006.1	Primary Assembly	205549	na
CC00469_7_NODE_7_length_179793_cov_193.238649	unplaced-scaffold	na	na	CAXTKX010000007.1	=	NZ_CAXTKX010000007.1	Primary Assembly	179793	na
CC00469_8_NODE_8_length_161563_cov_234.988847	unplaced-scaffold	na	na	CAXTKX010000008.1	=	NZ_CAXTKX010000008.1	Primary Assembly	161563	na
CC00469_9_NODE_9_length_144523_cov_300.459217	unplaced-scaffold	na	na	CAXTKX010000009.1	=	NZ_CAXTKX010000009.1	Primary Assembly	144523	na
CC00469_10_NODE_10_length_144085_cov_223.112376	unplaced-scaffold	na	na	CAXTKX010000010.1	=	NZ_CAXTKX010000010.1	Primary Assembly	144085	na
