# Assembly name:  ASM15428v1
# Organism name:  Amedibacillus dolichus DSM 3991 (firmicutes)
# Infraspecific name:  strain=DSM 3991
# Taxid:          428127
# BioSample:      SAMN00000734
# BioProject:     PRJNA18927
# Submitter:      Washington University Genome Sequencing Center
# Date:           2007-09-12
# Assembly type:  na
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    ABAW02
# Relation to type material: assembly from type material
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_000154285.1
# RefSeq assembly accession: GCF_000154285.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000154295.1	GCF_000154295.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Scfld_02_0	unplaced-scaffold	na	na	DS483460.1	=	NZ_DS483460.1	Primary Assembly	107844	na
Scfld_02_1	unplaced-scaffold	na	na	DS483461.1	=	NZ_DS483461.1	Primary Assembly	1481	na
Scfld_02_2	unplaced-scaffold	na	na	DS483462.1	=	NZ_DS483462.1	Primary Assembly	58373	na
Scfld_02_3	unplaced-scaffold	na	na	DS483463.1	=	NZ_DS483463.1	Primary Assembly	60196	na
Scfld_02_4	unplaced-scaffold	na	na	DS483464.1	=	NZ_DS483464.1	Primary Assembly	2214	na
Scfld_02_5	unplaced-scaffold	na	na	DS483465.1	=	NZ_DS483465.1	Primary Assembly	2208	na
Scfld_02_6	unplaced-scaffold	na	na	DS483466.1	=	NZ_DS483466.1	Primary Assembly	36468	na
Scfld_02_7	unplaced-scaffold	na	na	DS483467.1	=	NZ_DS483467.1	Primary Assembly	44434	na
Scfld_02_8	unplaced-scaffold	na	na	DS483468.1	=	NZ_DS483468.1	Primary Assembly	8857	na
Scfld_02_9	unplaced-scaffold	na	na	DS483469.1	=	NZ_DS483469.1	Primary Assembly	2091	na
Scfld_02_10	unplaced-scaffold	na	na	DS483470.1	=	NZ_DS483470.1	Primary Assembly	84800	na
Scfld_02_11	unplaced-scaffold	na	na	DS483471.1	=	NZ_DS483471.1	Primary Assembly	6434	na
Scfld_02_12	unplaced-scaffold	na	na	DS483472.1	=	NZ_DS483472.1	Primary Assembly	5239	na
Scfld_02_13	unplaced-scaffold	na	na	DS483473.1	=	NZ_DS483473.1	Primary Assembly	200149	na
Scfld_02_14	unplaced-scaffold	na	na	DS483474.1	=	NZ_DS483474.1	Primary Assembly	365126	na
Scfld_02_15	unplaced-scaffold	na	na	DS483475.1	=	NZ_DS483475.1	Primary Assembly	291535	na
Scfld_02_16	unplaced-scaffold	na	na	DS483476.1	=	NZ_DS483476.1	Primary Assembly	180925	na
Scfld_02_17	unplaced-scaffold	na	na	DS483477.1	=	NZ_DS483477.1	Primary Assembly	453733	na
Scfld_02_18	unplaced-scaffold	na	na	DS483478.1	=	NZ_DS483478.1	Primary Assembly	278946	na
