# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_000008765.1	GCF_000008775.1	Primary Assembly	3835	3836
CDS	without_protein	GCF_000008765.1	GCF_000008775.1	Primary Assembly	na	44
gene	RNase_P_RNA	GCF_000008765.1	GCF_000008775.1	Primary Assembly	1	1
gene	SRP_RNA	GCF_000008765.1	GCF_000008775.1	Primary Assembly	1	1
gene	ncRNA	GCF_000008765.1	GCF_000008775.1	Primary Assembly	3	3
gene	protein_coding	GCF_000008765.1	GCF_000008775.1	Primary Assembly	3836	3836
gene	pseudogene	GCF_000008765.1	GCF_000008775.1	Primary Assembly	44	44
gene	rRNA	GCF_000008765.1	GCF_000008775.1	Primary Assembly	33	33
gene	tRNA	GCF_000008765.1	GCF_000008775.1	Primary Assembly	73	73
gene	tmRNA	GCF_000008765.1	GCF_000008775.1	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_000008765.1	GCF_000008775.1	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_000008765.1	GCF_000008775.1	Primary Assembly	na	1
ncRNA	other	GCF_000008765.1	GCF_000008775.1	Primary Assembly	na	3
rRNA		GCF_000008765.1	GCF_000008775.1	Primary Assembly	na	33
tRNA		GCF_000008765.1	GCF_000008775.1	Primary Assembly	na	73
tmRNA		GCF_000008765.1	GCF_000008775.1	Primary Assembly	na	1
