# ANI ranges report for assembly: GCA_000271325.1
# Submitted organism: Solibacillus silvestris StLB046 (taxid = 1002809, rank = no rank, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Caryophanaceae; Solibacillus)
# Submitted Organism Has Type Assembly: No
# Best match: Solibacillus isronensis (taxid = 412383, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Caryophanaceae; Solibacillus)
# Status: MISASSIGNED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
S	AP012157.1	CIRCULAR	87	210	3969327	JACSPZ010000007.1	243	366	GCA_014836905.1	Solibacillus faecavium	100	96	0.00312396
T	AP012157.1	CIRCULAR	211	328	3969327	HG964407.1	366037	366154	GCA_000612805.1	Bacillus ndiopicus	86.4407	96	0.0029728
T	AP012157.1	CIRCULAR	1601	1856	3969327	PYWJ01000209.1	1	256	GCA_003049615.1	Ureibacillus chungkukjangi	89.8438	96	0.00644946
T	AP012157.1	CIRCULAR	1857	1970	3969327	PYWN01000307.1	149	262	GCA_003049505.1	Metasolibacillus meyeri	96.4912	96	0.00287202
T	AP012157.1	CIRCULAR	2419	2526	3969327	PYWN01000301.1	1	108	GCA_003049505.1	Metasolibacillus meyeri	99.0741	96	0.00272086
T	AP012157.1	CIRCULAR	2527	2781	3969327	PYWJ01000210.1	1	255	GCA_003049615.1	Ureibacillus chungkukjangi	98.0392	96	0.00642426
T	AP012157.1	CIRCULAR	2782	3314	3969327	PYWN01000207.1	105	637	GCA_003049505.1	Metasolibacillus meyeri	96.2477	96	0.013428
S	AP012157.1	CIRCULAR	3563	4838	3969327	CP114887.1	114673	115953	GCA_028747805.1	Solibacillus daqui	97.8193	96	0.0321465
S	AP012157.1	CIRCULAR	4839	5085	3969327	JAXCLE010000001.1	1	247	GCA_037027585.1	Solibacillus ferritrahens	99.1903	96	0.00622272
S	AP012157.1	CIRCULAR	5086	5304	3969327	CP114887.1	114212	114425	GCA_028747805.1	Solibacillus daqui	89.5455	96	0.00551731
S	AP012157.1	CIRCULAR	5305	6331	3969327	AMCK01000062.1	1	1027	GCA_000298255.1	Solibacillus isronensis	99.7082	96	0.0258734
