# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_964245115.1	GCF_964245114.1	Primary Assembly	3500	3505
CDS	without_protein	GCF_964245115.1	GCF_964245114.1	Primary Assembly	na	32
gene	RNase_P_RNA	GCF_964245115.1	GCF_964245114.1	Primary Assembly	1	1
gene	SRP_RNA	GCF_964245115.1	GCF_964245114.1	Primary Assembly	1	1
gene	protein_coding	GCF_964245115.1	GCF_964245114.1	Primary Assembly	3505	3505
gene	pseudogene	GCF_964245115.1	GCF_964245114.1	Primary Assembly	32	32
gene	rRNA	GCF_964245115.1	GCF_964245114.1	Primary Assembly	4	4
gene	tRNA	GCF_964245115.1	GCF_964245114.1	Primary Assembly	40	40
gene	tmRNA	GCF_964245115.1	GCF_964245114.1	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_964245115.1	GCF_964245114.1	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_964245115.1	GCF_964245114.1	Primary Assembly	na	1
rRNA		GCF_964245115.1	GCF_964245114.1	Primary Assembly	na	4
tRNA		GCF_964245115.1	GCF_964245114.1	Primary Assembly	na	40
tmRNA		GCF_964245115.1	GCF_964245114.1	Primary Assembly	na	1
