# ANI ranges report for assembly: GCA_900156305.1
# Submitted organism: Edaphobacillus lindanitolerans (taxid = 550447, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Edaphobacillus)
# Submitted Organism Has Type Assembly: Yes
# Best match: Bhargavaea ullalensis (taxid = 1265685, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Caryophanaceae; Bhargavaea)
# Status: INCONCLUSIVE
# Confidence: LOW
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
T	FTPL01000001.1	CONTIG	38	280	1321445	JBHLWY010000037.1	124127	124366	GCA_042432615.1	Bhargavaea ullalensis	84.4898	96	0.018389
T	FTPL01000001.1	CONTIG	27374	32382	1321445	JBHLWY010000037.1	90996	96002	GCA_042432615.1	Bhargavaea ullalensis	78.8203	96	0.379055
T	FTPL01000001.1	CONTIG	37889	39771	1321445	JBHLWY010000037.1	83521	85397	GCA_042432615.1	Bhargavaea ullalensis	77.7778	96	0.142496
T	FTPL01000001.1	CONTIG	39831	50256	1321445	JBHLWY010000037.1	73114	83513	GCA_042432615.1	Bhargavaea ullalensis	77.4233	96	0.788985
T	FTPL01000001.1	CONTIG	50448	51485	1321445	JBHLWY010000037.1	71932	72967	GCA_042432615.1	Bhargavaea ullalensis	79.0276	96	0.0785504
T	FTPL01000001.1	CONTIG	51914	54120	1321445	JBHLWY010000037.1	69453	71661	GCA_042432615.1	Bhargavaea ullalensis	87.1679	96	0.167014
T	FTPL01000001.1	CONTIG	54327	61506	1321445	JBHLWY010000037.1	62217	69397	GCA_042432615.1	Bhargavaea ullalensis	82.025	96	0.543345
T	FTPL01000001.1	CONTIG	62772	68683	1321445	JBHLWY010000037.1	55097	61005	GCA_042432615.1	Bhargavaea ullalensis	82.9314	96	0.447389
T	FTPL01000001.1	CONTIG	76041	77196	1321445	JBHLWY010000037.1	46871	48050	GCA_042432615.1	Bhargavaea ullalensis	79.6624	96	0.08748
T	FTPL01000001.1	CONTIG	77301	82442	1321445	JBHLWY010000037.1	41490	46620	GCA_042432615.1	Bhargavaea ullalensis	86.7545	96	0.389119
T	FTPL01000001.1	CONTIG	82532	90831	1321445	JBHLWY010000037.1	33163	41462	GCA_042432615.1	Bhargavaea ullalensis	79.7673	96	0.6281
T	FTPL01000001.1	CONTIG	91094	93402	1321445	JBHLWY010000037.1	30725	33034	GCA_042432615.1	Bhargavaea ullalensis	83.0955	96	0.174733
T	FTPL01000001.1	CONTIG	93757	95696	1321445	JBHLWY010000037.1	28426	30370	GCA_042432615.1	Bhargavaea ullalensis	85.422	96	0.146809
T	FTPL01000001.1	CONTIG	95764	100708	1321445	JBHLWY010000037.1	23359	28318	GCA_042432615.1	Bhargavaea ullalensis	85.3899	96	0.374212
T	FTPL01000001.1	CONTIG	101787	104410	1321445	JBHLWY010000037.1	20648	23272	GCA_042432615.1	Bhargavaea ullalensis	85.2852	96	0.198571
T	FTPL01000001.1	CONTIG	110266	114776	1321445	JBHLWY010000037.1	10209	14744	GCA_042432615.1	Bhargavaea ullalensis	77.2787	96	0.341369
T	FTPL01000001.1	CONTIG	114822	115767	1321445	JBHLWY010000037.1	8917	9866	GCA_042432615.1	Bhargavaea ullalensis	87.3033	96	0.0715883
T	FTPL01000001.1	CONTIG	117012	124681	1321445	JBHLWY010000037.1	104	7751	GCA_042432615.1	Bhargavaea ullalensis	83.2944	96	0.580425
T	FTPL01000001.1	CONTIG	125904	132950	1321445	JBHLWY010000009.1	1054	8115	GCA_042432615.1	Bhargavaea ullalensis	82.4606	96	0.53328
T	FTPL01000001.1	CONTIG	133061	143739	1321445	JBHLWY010000009.1	8950	19601	GCA_042432615.1	Bhargavaea ullalensis	80.592	96	0.80813
T	FTPL01000001.1	CONTIG	143865	146219	1321445	JBHLWY010000009.1	19926	22280	GCA_042432615.1	Bhargavaea ullalensis	83.6086	96	0.178214
T	FTPL01000001.1	CONTIG	146333	148159	1321445	JBHLWY010000009.1	22412	24239	GCA_042432615.1	Bhargavaea ullalensis	83.5602	96	0.138258
T	FTPL01000001.1	CONTIG	148387	157819	1321445	JBHLWY010000009.1	24405	33816	GCA_042432615.1	Bhargavaea ullalensis	80.3229	96	0.71384
T	FTPL01000001.1	CONTIG	161931	163227	1321445	JBHLWY010000009.1	38492	39787	GCA_042432615.1	Bhargavaea ullalensis	83.0534	96	0.0981501
T	FTPL01000001.1	CONTIG	163372	166253	1321445	JBHLWY010000009.1	39928	42825	GCA_042432615.1	Bhargavaea ullalensis	86.5543	96	0.218095
T	FTPL01000001.1	CONTIG	166433	171408	1321445	JBHLWY010000009.1	43051	48027	GCA_042432615.1	Bhargavaea ullalensis	83.54	96	0.376557
T	FTPL01000001.1	CONTIG	175312	181109	1321445	JBHLWY010000009.1	51623	57422	GCA_042432615.1	Bhargavaea ullalensis	87.8616	96	0.438762
T	FTPL01000001.1	CONTIG	181272	185480	1321445	JBHLWY010000009.1	57571	61794	GCA_042432615.1	Bhargavaea ullalensis	85.1878	96	0.318515
T	FTPL01000001.1	CONTIG	185716	189373	1321445	JBHLWY010000009.1	61989	65647	GCA_042432615.1	Bhargavaea ullalensis	80.8776	96	0.276818
T	FTPL01000001.1	CONTIG	190136	193180	1321445	JBHLWY010000006.1	930	3971	GCA_042432615.1	Bhargavaea ullalensis	81.45	96	0.23043
T	FTPL01000001.1	CONTIG	193301	214007	1321445	JBHLWY010000006.1	3972	24722	GCA_042432615.1	Bhargavaea ullalensis	84.3187	96	1.567
T	FTPL01000001.1	CONTIG	214008	214916	1321445	AOFT01000002.1	213848	214754	GCA_000348905.1	Bhargavaea cecembensis	85.3712	96	0.0687883
T	FTPL01000001.1	CONTIG	215009	222390	1321445	JBHLWY010000006.1	25914	33308	GCA_042432615.1	Bhargavaea ullalensis	85.8338	96	0.558631
T	FTPL01000001.1	CONTIG	222556	226455	1321445	JBHLWY010000006.1	33329	37228	GCA_042432615.1	Bhargavaea ullalensis	86.8253	96	0.295131
T	FTPL01000001.1	CONTIG	226653	228655	1321445	JBHLWY010000006.1	37338	39337	GCA_042432615.1	Bhargavaea ullalensis	89.0664	96	0.151576
T	FTPL01000001.1	CONTIG	228682	241511	1321445	JBHLWY010000006.1	39553	52391	GCA_042432615.1	Bhargavaea ullalensis	84.2979	96	0.970907
T	FTPL01000001.1	CONTIG	242193	264085	1321445	JBHLWY010000006.1	52503	74393	GCA_042432615.1	Bhargavaea ullalensis	81.5694	96	1.65675
T	FTPL01000001.1	CONTIG	266591	279661	1321445	JBHLWY010000006.1	77370	90461	GCA_042432615.1	Bhargavaea ullalensis	84.5404	96	0.989144
T	FTPL01000001.1	CONTIG	279902	284453	1321445	JBHLWY010000006.1	90925	95476	GCA_042432615.1	Bhargavaea ullalensis	83.6614	96	0.344471
T	FTPL01000001.1	CONTIG	284537	291654	1321445	JBHLWY010000003.1	63	7145	GCA_042432615.1	Bhargavaea ullalensis	84.2341	96	0.538653
T	FTPL01000001.1	CONTIG	291833	302310	1321445	JBHLWY010000003.1	7376	17847	GCA_042432615.1	Bhargavaea ullalensis	82.2473	96	0.79292
T	FTPL01000001.1	CONTIG	305973	307467	1321445	AOFT01000002.1	304642	306136	GCA_000348905.1	Bhargavaea cecembensis	79.7477	96	0.113134
T	FTPL01000001.1	CONTIG	307602	309789	1321445	JBHLWY010000046.1	28268	30462	GCA_042432615.1	Bhargavaea ullalensis	80.4426	96	0.165576
T	FTPL01000001.1	CONTIG	309790	314736	1321445	JBHLWY010000046.1	23242	28206	GCA_042432615.1	Bhargavaea ullalensis	80.4426	96	0.374363
T	FTPL01000001.1	CONTIG	314916	322253	1321445	JBHLWY010000046.1	15775	23108	GCA_042432615.1	Bhargavaea ullalensis	79.9055	96	0.555301
T	FTPL01000001.1	CONTIG	323661	331372	1321445	JBHLWY010000046.1	6443	14175	GCA_042432615.1	Bhargavaea ullalensis	87.8263	96	0.583604
T	FTPL01000001.1	CONTIG	331748	337699	1321445	JBHLWY010000046.1	191	6139	GCA_042432615.1	Bhargavaea ullalensis	83.7439	96	0.450416
T	FTPL01000001.1	CONTIG	337997	340516	1321445	JBHLWY010000010.1	42317	44839	GCA_042432615.1	Bhargavaea ullalensis	88.5194	96	0.1907
T	FTPL01000001.1	CONTIG	346602	351720	1321445	JBHLWY010000010.1	30851	35970	GCA_042432615.1	Bhargavaea ullalensis	87.4076	96	0.387379
T	FTPL01000001.1	CONTIG	351930	356268	1321445	JBHLWY010000010.1	26274	30620	GCA_042432615.1	Bhargavaea ullalensis	82.9821	96	0.328353
T	FTPL01000001.1	CONTIG	356309	363393	1321445	JBHLWY010000010.1	18775	25868	GCA_042432615.1	Bhargavaea ullalensis	83.2561	96	0.536155
T	FTPL01000001.1	CONTIG	385674	389786	1321445	JBHLWY010000033.1	4111	8225	GCA_042432615.1	Bhargavaea ullalensis	82.1109	96	0.31125
T	FTPL01000001.1	CONTIG	396049	397212	1321445	JBHLWY010000033.1	15022	16184	GCA_042432615.1	Bhargavaea ullalensis	81.5542	96	0.0880854
T	FTPL01000001.1	CONTIG	398111	398210	1321445	AOFT01000019.1	17634	17731	GCA_000348905.1	Bhargavaea cecembensis	98	96	0.00756747
T	FTPL01000001.1	CONTIG	402766	405753	1321445	JBHLWY010000033.1	21140	24143	GCA_042432615.1	Bhargavaea ullalensis	85.1741	96	0.226116
T	FTPL01000001.1	CONTIG	405931	407871	1321445	FNZF01000004.1	6830	8767	GCA_900109165.1	Bhargavaea ginsengi	74.9111	96	0.146885
T	FTPL01000001.1	CONTIG	409412	415991	1321445	JBHLWY010000033.1	27640	34220	GCA_042432615.1	Bhargavaea ullalensis	82.2978	96	0.49794
T	FTPL01000001.1	CONTIG	416121	416351	1321445	JBHLWY010000033.1	34308	34536	GCA_042432615.1	Bhargavaea ullalensis	93.1034	96	0.0174809
T	FTPL01000001.1	CONTIG	416462	419641	1321445	JBHLWY010000033.1	34628	37807	GCA_042432615.1	Bhargavaea ullalensis	79.1432	96	0.240646
T	FTPL01000001.1	CONTIG	419687	424323	1321445	JBHLWY010000033.1	37871	42517	GCA_042432615.1	Bhargavaea ullalensis	82.9555	96	0.350904
T	FTPL01000001.1	CONTIG	424385	435481	1321445	JBHLWY010000032.1	351	11426	GCA_042432615.1	Bhargavaea ullalensis	85.147	96	0.839763
T	FTPL01000001.1	CONTIG	436910	440030	1321445	JBHLWY010000032.1	12924	16041	GCA_042432615.1	Bhargavaea ullalensis	81.9254	96	0.236181
T	FTPL01000001.1	CONTIG	441794	451766	1321445	JBHLWY010000017.1	674	10639	GCA_042432615.1	Bhargavaea ullalensis	82.4516	96	0.754704
T	FTPL01000001.1	CONTIG	453728	458047	1321445	JBHLWY010000017.1	12736	17058	GCA_042432615.1	Bhargavaea ullalensis	79.605	96	0.326915
T	FTPL01000001.1	CONTIG	458229	459682	1321445	JBHLWY010000017.1	17182	18623	GCA_042432615.1	Bhargavaea ullalensis	81.7683	96	0.110031
T	FTPL01000001.1	CONTIG	461650	462129	1321445	JBHLWY010000017.1	20481	20975	GCA_042432615.1	Bhargavaea ullalensis	83.1325	96	0.0363239
T	FTPL01000001.1	CONTIG	462379	466117	1321445	JBHLWY010000039.1	179	3917	GCA_042432615.1	Bhargavaea ullalensis	86.5847	96	0.282948
T	FTPL01000001.1	CONTIG	466296	473411	1321445	JBHLWY010000039.1	4220	11372	GCA_042432615.1	Bhargavaea ullalensis	77.9381	96	0.538501
T	FTPL01000001.1	CONTIG	496805	497467	1321445	JBHLWY010000030.1	66531	67191	GCA_042432615.1	Bhargavaea ullalensis	86.2687	96	0.0501723
T	FTPL01000001.1	CONTIG	499111	502702	1321445	JBHLWY010000030.1	69323	72922	GCA_042432615.1	Bhargavaea ullalensis	80.4636	96	0.271824
T	FTPL01000001.1	CONTIG	505930	507097	1321445	JBHLWY010000030.1	76260	77434	GCA_042432615.1	Bhargavaea ullalensis	82.9661	96	0.0883881
T	FTPL01000001.1	CONTIG	507153	507569	1321445	JBHLWY010000030.1	77546	77962	GCA_042432615.1	Bhargavaea ullalensis	89.0736	96	0.0315564
T	FTPL01000001.1	CONTIG	507598	509170	1321445	JBHLWY010000030.1	78155	79731	GCA_042432615.1	Bhargavaea ullalensis	84.2939	96	0.119036
T	FTPL01000001.1	CONTIG	509640	518859	1321445	JBHLWY010000030.1	80169	89385	GCA_042432615.1	Bhargavaea ullalensis	90.5461	96	0.697721
T	FTPL01000001.1	CONTIG	518941	520919	1321445	JBHLWY010000030.1	89446	91422	GCA_042432615.1	Bhargavaea ullalensis	85.0227	96	0.14976
T	FTPL01000001.1	CONTIG	521016	524491	1321445	JBHLWY010000029.1	143	3618	GCA_042432615.1	Bhargavaea ullalensis	84.3294	96	0.263045
T	FTPL01000001.1	CONTIG	526299	530815	1321445	JBHLWY010000035.1	811	5315	GCA_042432615.1	Bhargavaea ullalensis	80.6651	96	0.341823
T	FTPL01000001.1	CONTIG	531027	531362	1321445	AOFT01000001.1	212802	213137	GCA_000348905.1	Bhargavaea cecembensis	91.369	96	0.0254267
T	FTPL01000001.1	CONTIG	531363	540590	1321445	JBHLWY010000035.1	5894	15144	GCA_042432615.1	Bhargavaea ullalensis	84.3283	96	0.698326
T	FTPL01000001.1	CONTIG	540650	545857	1321445	JBHLWY010000023.1	230	5437	GCA_042432615.1	Bhargavaea ullalensis	88.584	96	0.394114
T	FTPL01000001.1	CONTIG	547292	551909	1321445	JBHLWY010000023.1	6767	11368	GCA_042432615.1	Bhargavaea ullalensis	85.847	96	0.349466
T	FTPL01000001.1	CONTIG	552878	562394	1321445	JBHLWY010000023.1	12913	22386	GCA_042432615.1	Bhargavaea ullalensis	76.4438	96	0.720196
T	FTPL01000001.1	CONTIG	562707	564426	1321445	FNZF01000004.1	204901	206620	GCA_900109165.1	Bhargavaea ginsengi	79.2366	96	0.130161
T	FTPL01000001.1	CONTIG	565069	568053	1321445	JBHLWY010000023.1	25059	28047	GCA_042432615.1	Bhargavaea ullalensis	80.2326	96	0.225889
T	FTPL01000001.1	CONTIG	570457	573153	1321445	JBHLWY010000023.1	30738	33434	GCA_042432615.1	Bhargavaea ullalensis	86.4695	96	0.204095
T	FTPL01000001.1	CONTIG	573793	574583	1321445	JBHLWY010000023.1	33780	34576	GCA_042432615.1	Bhargavaea ullalensis	83.6454	96	0.0598587
T	FTPL01000001.1	CONTIG	574643	577445	1321445	JBHLWY010000023.1	34697	37481	GCA_042432615.1	Bhargavaea ullalensis	81.6276	96	0.212116
T	FTPL01000001.1	CONTIG	581856	585406	1321445	JBHLWY010000023.1	41368	44920	GCA_042432615.1	Bhargavaea ullalensis	81.4722	96	0.268721
T	FTPL01000001.1	CONTIG	587632	589903	1321445	JBHLWY010000023.1	47284	49559	GCA_042432615.1	Bhargavaea ullalensis	84.6053	96	0.171933
T	FTPL01000001.1	CONTIG	590227	594817	1321445	JBHLWY010000023.1	49643	54233	GCA_042432615.1	Bhargavaea ullalensis	82.799	96	0.347423
T	FTPL01000001.1	CONTIG	594937	599957	1321445	JBHLWY010000023.1	54359	59361	GCA_042432615.1	Bhargavaea ullalensis	83.5717	96	0.379963
T	FTPL01000001.1	CONTIG	600113	600774	1321445	JBHLWY010000023.1	59485	60146	GCA_042432615.1	Bhargavaea ullalensis	87.1601	96	0.0500967
T	FTPL01000001.1	CONTIG	600969	605975	1321445	JBHLWY010000023.1	60680	65679	GCA_042432615.1	Bhargavaea ullalensis	81.547	96	0.378903
T	FTPL01000001.1	CONTIG	606679	610616	1321445	JBHLWY010000047.1	850	4789	GCA_042432615.1	Bhargavaea ullalensis	80.5591	96	0.298007
T	FTPL01000001.1	CONTIG	610700	618382	1321445	JBHLWY010000047.1	4861	12523	GCA_042432615.1	Bhargavaea ullalensis	80.6126	96	0.581409
T	FTPL01000001.1	CONTIG	618441	622667	1321445	JBHLWY010000018.1	108	4332	GCA_042432615.1	Bhargavaea ullalensis	82.2259	96	0.319877
T	FTPL01000001.1	CONTIG	622805	626415	1321445	JBHLWY010000018.1	4513	8120	GCA_042432615.1	Bhargavaea ullalensis	81.3099	96	0.273261
T	FTPL01000001.1	CONTIG	626527	630577	1321445	JBHLWY010000018.1	8246	12283	GCA_042432615.1	Bhargavaea ullalensis	87.3736	96	0.306558
T	FTPL01000001.1	CONTIG	670567	671661	1321445	JBHLWY010000018.1	40017	41109	GCA_042432615.1	Bhargavaea ullalensis	84.412	96	0.0828638
T	FTPL01000001.1	CONTIG	671767	673412	1321445	JBHLWY010000018.1	41235	42875	GCA_042432615.1	Bhargavaea ullalensis	80.9294	96	0.124561
T	FTPL01000001.1	CONTIG	727468	731264	1321445	JBHLWY010000018.1	79000	82780	GCA_042432615.1	Bhargavaea ullalensis	82.3129	96	0.287337
T	FTPL01000001.1	CONTIG	732910	740336	1321445	JBHLWY010000018.1	83844	91247	GCA_042432615.1	Bhargavaea ullalensis	81.3589	96	0.562036
T	FTPL01000001.1	CONTIG	744348	745990	1321445	JBHLWY010000018.1	99797	101440	GCA_042432615.1	Bhargavaea ullalensis	82.7356	96	0.124334
T	FTPL01000001.1	CONTIG	745991	749229	1321445	FNAR01000003.1	103508	106741	GCA_900101985.1	Bhargavaea beijingensis	76.6258	96	0.24511
T	FTPL01000001.1	CONTIG	765783	767979	1321445	AOFT01000004.1	5231	7422	GCA_000348905.1	Bhargavaea cecembensis	75.5977	96	0.166257
T	FTPL01000001.1	CONTIG	772539	775569	1321445	JBHLWY010000018.1	123251	126280	GCA_042432615.1	Bhargavaea ullalensis	83.3607	96	0.22937
T	FTPL01000001.1	CONTIG	784583	785461	1321445	JBHLWY010000018.1	135916	136794	GCA_042432615.1	Bhargavaea ullalensis	80.839	96	0.0665181
T	FTPL01000001.1	CONTIG	788027	789142	1321445	FNZF01000001.1	613895	615011	GCA_900109165.1	Bhargavaea ginsengi	78.5205	96	0.084453
T	FTPL01000001.1	CONTIG	791390	796392	1321445	JBHLWY010000018.1	149848	154858	GCA_042432615.1	Bhargavaea ullalensis	81.3879	96	0.378601
T	FTPL01000001.1	CONTIG	803198	809001	1321445	JBHLWY010000018.1	160902	166707	GCA_042432615.1	Bhargavaea ullalensis	90.8747	96	0.439216
T	FTPL01000001.1	CONTIG	809056	818245	1321445	JBHLWY010000018.1	166718	175914	GCA_042432615.1	Bhargavaea ullalensis	92.4799	96	0.695451
T	FTPL01000001.1	CONTIG	818297	825461	1321445	JBHLWY010000018.1	175920	183102	GCA_042432615.1	Bhargavaea ullalensis	93.0249	96	0.542209
T	FTPL01000001.1	CONTIG	825473	834346	1321445	JBHLWY010000044.1	69	8929	GCA_042432615.1	Bhargavaea ullalensis	87.7835	96	0.671538
T	FTPL01000001.1	CONTIG	854390	860869	1321445	JBHLWY010000036.1	15210	21713	GCA_042432615.1	Bhargavaea ullalensis	80.3631	96	0.490372
T	FTPL01000001.1	CONTIG	863507	867956	1321445	JBHLWY010000036.1	25054	29500	GCA_042432615.1	Bhargavaea ullalensis	79.019	96	0.336753
T	FTPL01000001.1	CONTIG	888179	890927	1321445	FNAR01000002.1	284922	287663	GCA_900101985.1	Bhargavaea beijingensis	78.1825	96	0.20803
T	FTPL01000001.1	CONTIG	892787	897266	1321445	AOFT01000006.1	107685	112168	GCA_000348905.1	Bhargavaea cecembensis	80.747	96	0.339023
T	FTPL01000001.1	CONTIG	931009	933168	1321445	JAHBCJ010000003.1	239343	241491	GCA_018390575.1	Bhargavaea massiliensis	81.3685	96	0.163457
T	FTPL01000001.1	CONTIG	940139	943373	1321445	JAHBCJ010000003.1	254838	258063	GCA_018390575.1	Bhargavaea massiliensis	79.4605	96	0.244808
T	FTPL01000001.1	CONTIG	943546	945045	1321445	FNAR01000021.1	36239	37737	GCA_900101985.1	Bhargavaea beijingensis	80.6623	96	0.113512
T	FTPL01000001.1	CONTIG	1029577	1034480	1321445	JBHTCT010000025.1	570	5469	GCA_042665595.1	Bhargavaea changchunensis	81.2424	96	0.371109
