# ANI ranges report for assembly: GCA_012317185.1
# Submitted organism: [Clostridium] innocuum (taxid = 1522, rank = species, lineage = Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium)
# Submitted Organism Has Type Assembly: Yes
# Best match: [Clostridium] innocuum (taxid = 1522, rank = species, lineage = Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	CP048838.1	CIRCULAR	1	107357	4718906	JAGGIN010000002.1	1	107357	GCA_018458805.1	[Clostridium] innocuum	100	96	2.27504
-	CP048838.1	CIRCULAR	107358	107901	4718906	JAGGIN010000074.1	125	668	GCA_018458805.1	[Clostridium] innocuum	100	96	0.0115281
-	CP048838.1	CIRCULAR	107902	130895	4718906	JAGGIN010000039.1	1	22994	GCA_018458805.1	[Clostridium] innocuum	100	96	0.487274
-	CP048838.1	CIRCULAR	131109	131382	4718906	JAGGIN010000089.1	1	274	GCA_018458805.1	[Clostridium] innocuum	100	96	0.00580643
-	CP048838.1	CIRCULAR	131383	179500	4718906	JAGGIN010000026.1	1	48118	GCA_018458805.1	[Clostridium] innocuum	100	96	1.01969
-	CP048838.1	CIRCULAR	179632	180194	4718906	BAAACC010000047.1	1	563	GCA_039521305.1	[Clostridium] innocuum	100	96	0.0119307
-	CP048838.1	CIRCULAR	180440	180545	4718906	JAGGIN010000072.1	128	233	GCA_018458805.1	[Clostridium] innocuum	99.9799	96	0.00224628
-	CP048838.1	CIRCULAR	180546	183391	4718906	JAGGIN010000061.1	1	2846	GCA_018458805.1	[Clostridium] innocuum	99.9799	96	0.0603106
-	CP048838.1	CIRCULAR	183392	183641	4718906	JAGGIN010000084.1	128	377	GCA_018458805.1	[Clostridium] innocuum	99.9799	96	0.00529784
-	CP048838.1	CIRCULAR	183642	189454	4718906	JAGGIN010000057.1	1	5813	GCA_018458805.1	[Clostridium] innocuum	99.9799	96	0.123185
-	CP048838.1	CIRCULAR	189455	190393	4718906	JAGGIN010000072.1	234	1172	GCA_018458805.1	[Clostridium] innocuum	99.9799	96	0.0198987
-	CP048838.1	CIRCULAR	190500	190626	4718906	JAGGIN010000072.1	1	127	GCA_018458805.1	[Clostridium] innocuum	100	96	0.0026913
-	CP048838.1	CIRCULAR	190627	191013	4718906	JAGGIN010000082.1	1	387	GCA_018458805.1	[Clostridium] innocuum	100	96	0.00820105
-	CP048838.1	CIRCULAR	191014	191446	4718906	BAAACC010000012.1	455	887	GCA_039521305.1	[Clostridium] innocuum	100	96	0.00917586
-	CP048838.1	CIRCULAR	191447	202123	4718906	JAGGIN010000052.1	1	10677	GCA_018458805.1	[Clostridium] innocuum	100	96	0.22626
-	CP048838.1	CIRCULAR	202124	202824	4718906	BAAACC010000012.1	11565	12265	GCA_039521305.1	[Clostridium] innocuum	100	96	0.0148551
-	CP048838.1	CIRCULAR	202825	221167	4718906	JAGGIN010000042.1	1	18343	GCA_018458805.1	[Clostridium] innocuum	99.9993	96	0.388713
