# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_000829905.1	GCF_000829915.1	Primary Assembly	2732	2733
CDS	without_protein	GCF_000829905.1	GCF_000829915.1	Primary Assembly	na	16
gene	RNase_P_RNA	GCF_000829905.1	GCF_000829915.1	Primary Assembly	1	1
gene	SRP_RNA	GCF_000829905.1	GCF_000829915.1	Primary Assembly	1	1
gene	protein_coding	GCF_000829905.1	GCF_000829915.1	Primary Assembly	2733	2733
gene	pseudogene	GCF_000829905.1	GCF_000829915.1	Primary Assembly	16	16
gene	rRNA	GCF_000829905.1	GCF_000829915.1	Primary Assembly	23	23
gene	tRNA	GCF_000829905.1	GCF_000829915.1	Primary Assembly	57	57
gene	tmRNA	GCF_000829905.1	GCF_000829915.1	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_000829905.1	GCF_000829915.1	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_000829905.1	GCF_000829915.1	Primary Assembly	na	1
rRNA		GCF_000829905.1	GCF_000829915.1	Primary Assembly	na	23
tRNA		GCF_000829905.1	GCF_000829915.1	Primary Assembly	na	57
tmRNA		GCF_000829905.1	GCF_000829915.1	Primary Assembly	na	1
