##[["FCS genome report", 2, 1], {"git-rev": "v0.5.3", "run-date": "Sat May 25 07:43:30 2024", "db": {"build-date": "2023-01-24", "seqs": 3025824, "Gbp": 709.264}, "run-info": {"agg-cvg": 0.992458, "asserted-div": "prok:firmicutes", "inferred-primary-divs": ["prok:firmicutes", "prok:g-proteobacteria"], "corrected-primary-divs": ["prok:firmicutes", "prok:g-proteobacteria"], "species": "Metasolibacillus fluoroglycofenilyticus", "genome-hash": "9a1a38f5d1efc15e"}}]
#seq_id	start_pos	end_pos	seq_len	action	contam_type	coverage	contam_details
NZ_PYWK01000021.1	1	395	395	EXCLUDE	anml:primates	91	Macaca fascicularis
NZ_PYWK01000023.1	1	430	430	REVIEW_RARE	prok:high GC Gram+	100	Cutibacterium acnes
NZ_PYWK01000024.1	1	345	345	EXCLUDE	anml:primates	90	Homo sapiens
NZ_PYWK01000025.1	1	411	411	REVIEW_RARE	prok:high GC Gram+	100	Cutibacterium modestum
NZ_PYWK01000026.1	1	410	410	REVIEW_RARE	prok:high GC Gram+	100	Cutibacterium acnes
NZ_PYWK01000027.1	1	350	350	REVIEW_RARE	prok:high GC Gram+	94	Cutibacterium acnes
NZ_PYWK01000027.1	332	350	350	TRIM	adaptor:NGB04007.1	0	-
NZ_PYWK01000028.1	1	374	374	REVIEW_RARE	prok:high GC Gram+	94	Cutibacterium acnes
NZ_PYWK01000028.1	356	374	374	TRIM	adaptor:NGB04007.1	0	-
NZ_PYWK01000029.1	1	365	365	EXCLUDE	anml:primates	94	Macaca fascicularis
NZ_PYWK01000030.1	1	382	382	REVIEW_RARE	prok:high GC Gram+	100	Cutibacterium acnes
NZ_PYWK01000031.1	1	329	329	REVIEW_RARE	prok:high GC Gram+	94	Cutibacterium acnes
NZ_PYWK01000031.1	1	19	329	TRIM	adaptor:NGB04007.1	0	-
NZ_PYWK01000033.1	1	315	315	REVIEW_RARE	prok:high GC Gram+	97	Cutibacterium acnes
NZ_PYWK01000033.1	297	315	315	TRIM	adaptor:NGB04007.1	0	-
