# ANI ranges report for assembly: GCA_000829195.1
# Submitted organism: Bacillus sp. OxB-1 (taxid = 98228, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus)
# Submitted Organism Has Type Assembly: No
# Best match: Sporosarcina luteola (taxid = 582850, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Caryophanaceae; Sporosarcina)
# Status: INCONCLUSIVE
# Confidence: LOW
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
T	AP013294.1	CIRCULAR	17034	17532	3594618	JBHSNO010000004.1	455	960	GCA_042655805.1	Sporosarcina soli	96.063	96	0.0138819
T	AP013294.1	CIRCULAR	17590	17755	3594618	JBHSNO010000002.1	151386	151551	GCA_042655805.1	Sporosarcina soli	100	96	0.00461802
T	AP013294.1	CIRCULAR	17846	18156	3594618	JBHSNO010000004.1	1187	1496	GCA_042655805.1	Sporosarcina soli	95.2229	96	0.00865182
T	AP013294.1	CIRCULAR	18232	18417	3594618	JBHSNP010000007.1	279	452	GCA_042655825.1	Sporosarcina koreensis	87.6344	96	0.0051744
T	AP013294.1	CIRCULAR	18418	18689	3594618	JBHSNO010000017.1	369	642	GCA_042655805.1	Sporosarcina soli	95.1965	96	0.00756687
T	AP013294.1	CIRCULAR	18690	18868	3594618	JBHSNO010000002.1	152017	152198	GCA_042655805.1	Sporosarcina soli	95.1965	96	0.00497967
T	AP013294.1	CIRCULAR	18876	18980	3594618	JBHSNP010000008.1	131626	131730	GCA_042655825.1	Sporosarcina koreensis	97.1429	96	0.00292103
T	AP013294.1	CIRCULAR	19007	19111	3594618	JAUBDI010000026.1	236	340	GCA_033253735.1	Sporosarcina saromensis	98.0952	96	0.00292103
T	AP013294.1	CIRCULAR	19112	19236	3594618	JBHSNP010000007.1	1163	1297	GCA_042655825.1	Sporosarcina koreensis	79.7101	96	0.00347742
T	AP013294.1	CIRCULAR	19240	19379	3594618	JAUBDI010000024.1	53942	54084	GCA_033253735.1	Sporosarcina saromensis	77.7358	96	0.00389471
T	AP013294.1	CIRCULAR	19380	19497	3594618	JAUBDI010000009.1	134861	134978	GCA_033253735.1	Sporosarcina saromensis	77.7358	96	0.00328269
T	AP013294.1	CIRCULAR	19498	20051	3594618	JBHSNO010000027.1	1	554	GCA_042655805.1	Sporosarcina soli	99.8195	96	0.0154119
T	AP013294.1	CIRCULAR	20744	20859	3594618	JBHSNP010000005.1	1122	1237	GCA_042655825.1	Sporosarcina koreensis	96.5517	96	0.00322705
T	AP013294.1	CIRCULAR	20860	21925	3594618	JBHSNO010000026.1	1	1067	GCA_042655805.1	Sporosarcina soli	98.1256	96	0.0296554
T	AP013294.1	CIRCULAR	21927	22116	3594618	JBHSNO010000020.1	2	191	GCA_042655805.1	Sporosarcina soli	96.3158	96	0.00528568
T	AP013294.1	CIRCULAR	22117	22316	3594618	JAROCC010000033.1	457	656	GCA_030433715.1	Sporosarcina highlanderae	95	96	0.00556387
T	AP013294.1	CIRCULAR	22747	23102	3594618	BJYL01000076.1	1	356	GCA_007991495.1	Sporosarcina luteola	99.4382	96	0.00990369
T	AP013294.1	CIRCULAR	23103	23411	3594618	JBHSNP010000006.1	1	309	GCA_042655825.1	Sporosarcina koreensis	97.7346	96	0.00859618
T	AP013294.1	CIRCULAR	23412	24030	3594618	JBHSNO010000025.1	1	619	GCA_042655805.1	Sporosarcina soli	98.0614	96	0.0172202
T	AP013294.1	CIRCULAR	24031	24369	3594618	JBHSNP010000006.1	929	1267	GCA_042655825.1	Sporosarcina koreensis	97.9351	96	0.00943077
T	AP013294.1	CIRCULAR	24621	28794	3594618	JBHSNP010000004.1	14976	19151	GCA_042655825.1	Sporosarcina koreensis	70.898	96	0.116118
T	AP013294.1	CIRCULAR	71693	73095	3594618	BJYL01000020.1	84788	86188	GCA_007991495.1	Sporosarcina luteola	84.911	96	0.0390306
T	AP013294.1	CIRCULAR	73098	76962	3594618	JBHSNO010000016.1	37666	41531	GCA_042655805.1	Sporosarcina soli	80.1595	96	0.107522
T	AP013294.1	CIRCULAR	103147	104440	3594618	JBHSNO010000005.1	1012268	1013567	GCA_042655805.1	Sporosarcina soli	84.5038	96	0.0359983
T	AP013294.1	CIRCULAR	126901	128740	3594618	BJYL01000020.1	13058	14896	GCA_007991495.1	Sporosarcina luteola	83.2973	96	0.0511876
