# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_900109165.1	GCF_900109164.1	Primary Assembly	3049	3049
CDS	without_protein	GCF_900109165.1	GCF_900109164.1	Primary Assembly	na	15
gene	RNase_P_RNA	GCF_900109165.1	GCF_900109164.1	Primary Assembly	1	1
gene	SRP_RNA	GCF_900109165.1	GCF_900109164.1	Primary Assembly	1	1
gene	ncRNA	GCF_900109165.1	GCF_900109164.1	Primary Assembly	2	2
gene	protein_coding	GCF_900109165.1	GCF_900109164.1	Primary Assembly	3049	3049
gene	pseudogene	GCF_900109165.1	GCF_900109164.1	Primary Assembly	15	15
gene	rRNA	GCF_900109165.1	GCF_900109164.1	Primary Assembly	16	16
gene	tRNA	GCF_900109165.1	GCF_900109164.1	Primary Assembly	52	52
gene	tmRNA	GCF_900109165.1	GCF_900109164.1	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_900109165.1	GCF_900109164.1	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_900109165.1	GCF_900109164.1	Primary Assembly	na	1
ncRNA	other	GCF_900109165.1	GCF_900109164.1	Primary Assembly	na	2
rRNA		GCF_900109165.1	GCF_900109164.1	Primary Assembly	na	16
tRNA		GCF_900109165.1	GCF_900109164.1	Primary Assembly	na	52
tmRNA		GCF_900109165.1	GCF_900109164.1	Primary Assembly	na	1
