# ANI ranges report for assembly: GCA_000008765.1
# Submitted organism: Clostridium acetobutylicum ATCC 824 (taxid = 272562, rank = no rank, lineage = Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium)
# Submitted Organism Has Type Assembly: Yes
# Best match: Clostridium felsineum (taxid = 36839, rank = species, lineage = Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium)
# Status: INCONCLUSIVE
# Confidence: LOW
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
S	AE001437.1	CIRCULAR	1	29163	3940880	CP096983.1	201780	230937	GCA_002006215.2	Clostridium felsineum	86.5946	96	0.740012
S	AE001437.1	CIRCULAR	30203	34224	3940880	CP096983.1	232007	235993	GCA_002006215.2	Clostridium felsineum	84.1415	96	0.102058
S	AE001437.1	CIRCULAR	34225	34469	3940880	JAEACT010000005.1	25820	26068	GCA_021432385.1	Clostridium hydrogenum	90.4382	96	0.00621689
S	AE001437.1	CIRCULAR	35935	36061	3940880	CP096983.1	236279	236404	GCA_002006215.2	Clostridium felsineum	91.4729	96	0.00322263
S	AE001437.1	CIRCULAR	36198	38091	3940880	CP096980.1	66093	67978	GCA_002006355.2	Clostridium felsineum	81.8087	96	0.0480603
S	AE001437.1	CIRCULAR	38092	40781	3940880	CP096983.1	240567	243281	GCA_002006215.2	Clostridium felsineum	84.0453	96	0.0682589
S	AE001437.1	CIRCULAR	41891	45136	3940880	CP096983.1	247103	250340	GCA_002006215.2	Clostridium felsineum	80.7539	96	0.0823674
S	AE001437.1	CIRCULAR	45817	45957	3940880	JAEACT010000005.1	58713	58857	GCA_021432385.1	Clostridium hydrogenum	90.3448	96	0.00357788
S	AE001437.1	CIRCULAR	46254	47676	3940880	CP096983.1	3853653	3855075	GCA_002006215.2	Clostridium felsineum	84.7018	96	0.0361087
S	AE001437.1	CIRCULAR	47984	54543	3940880	CP096983.1	3846790	3853339	GCA_002006215.2	Clostridium felsineum	81.1044	96	0.16646
S	AE001437.1	CIRCULAR	55666	57747	3940880	CP096983.1	3837326	3839407	GCA_002006215.2	Clostridium felsineum	91.0877	96	0.0528308
S	AE001437.1	CIRCULAR	57922	60570	3940880	CP096983.1	3834590	3837247	GCA_002006215.2	Clostridium felsineum	82.2164	96	0.0672185
S	AE001437.1	CIRCULAR	84867	92995	3940880	CP096983.1	279774	287871	GCA_002006215.2	Clostridium felsineum	77.2788	96	0.206274
S	AE001437.1	CIRCULAR	95894	97396	3940880	CP096983.1	288508	289992	GCA_002006215.2	Clostridium felsineum	80.3844	96	0.0381387
S	AE001437.1	CIRCULAR	112489	117363	3940880	CP096980.1	8887	13758	GCA_002006355.2	Clostridium felsineum	81.3735	96	0.123703
S	AE001437.1	CIRCULAR	117423	121624	3940880	CP096983.1	308523	312725	GCA_002006215.2	Clostridium felsineum	83.5545	96	0.106626
S	AE001437.1	CIRCULAR	121721	127883	3940880	CP096988.1	3019532	3025637	GCA_002006235.2	Clostridium felsineum	85.5617	96	0.156386
S	AE001437.1	CIRCULAR	127884	133998	3940880	CP096983.1	318844	324961	GCA_002006215.2	Clostridium felsineum	79.3605	96	0.155168
S	AE001437.1	CIRCULAR	135840	138480	3940880	CP096983.1	325646	328267	GCA_002006215.2	Clostridium felsineum	84.9114	96	0.0670155
S	AE001437.1	CIRCULAR	138546	140486	3940880	CP096983.1	328291	330211	GCA_002006215.2	Clostridium felsineum	85.8243	96	0.049253
S	AE001437.1	CIRCULAR	144384	150184	3940880	CP096983.1	333523	339287	GCA_002006215.2	Clostridium felsineum	79.5078	96	0.147201
S	AE001437.1	CIRCULAR	150779	154103	3940880	CP096983.1	339320	342647	GCA_002006215.2	Clostridium felsineum	85.6375	96	0.084372
S	AE001437.1	CIRCULAR	156845	160020	3940880	CP096988.1	2989914	2993087	GCA_002006235.2	Clostridium felsineum	90.2378	96	0.0805911
S	AE001437.1	CIRCULAR	160021	168596	3940880	CP096983.1	348460	356987	GCA_002006215.2	Clostridium felsineum	96.8441	96	0.217616
S	AE001437.1	CIRCULAR	168597	173408	3940880	CP096980.1	4840869	4845658	GCA_002006355.2	Clostridium felsineum	98.1305	96	0.122105
S	AE001437.1	CIRCULAR	173409	174172	3940880	CP096983.1	361779	362557	GCA_002006215.2	Clostridium felsineum	77.5253	96	0.0193865
S	AE001437.1	CIRCULAR	221455	224290	3940880	CP096983.1	455486	458301	GCA_002006215.2	Clostridium felsineum	80.6147	96	0.0719636
S	AE001437.1	CIRCULAR	224291	224823	3940880	CP096988.1	2879499	2880031	GCA_002006235.2	Clostridium felsineum	90.3346	96	0.0135249
S	AE001437.1	CIRCULAR	233738	235342	3940880	CP096983.1	487097	488701	GCA_002006215.2	Clostridium felsineum	75.3676	96	0.0407269
S	AE001437.1	CIRCULAR	238682	242608	3940880	CP096983.1	490810	494732	GCA_002006215.2	Clostridium felsineum	79.8281	96	0.0996478
S	AE001437.1	CIRCULAR	244568	246467	3940880	CP096980.1	4699116	4701030	GCA_002006355.2	Clostridium felsineum	80.3007	96	0.0482126
S	AE001437.1	CIRCULAR	254315	256276	3940880	CP096983.1	506121	508083	GCA_002006215.2	Clostridium felsineum	97.3042	96	0.0497858
S	AE001437.1	CIRCULAR	256279	259541	3940880	CP096983.1	508254	511508	GCA_002006215.2	Clostridium felsineum	97.9792	96	0.0827988
S	AE001437.1	CIRCULAR	259542	262366	3940880	CP096980.1	4683503	4686322	GCA_002006355.2	Clostridium felsineum	81.2851	96	0.0716845
S	AE001437.1	CIRCULAR	262464	266199	3940880	CP096983.1	517257	520984	GCA_002006215.2	Clostridium felsineum	85.7982	96	0.0948012
S	AE001437.1	CIRCULAR	272085	277344	3940880	CP096983.1	538526	543762	GCA_002006215.2	Clostridium felsineum	80.2913	96	0.133473
S	AE001437.1	CIRCULAR	278071	278401	3940880	CP096983.1	963423	963752	GCA_002006215.2	Clostridium felsineum	98.4894	96	0.00839914
S	AE001437.1	CIRCULAR	278448	278550	3940880	CP096988.1	1110252	1110353	GCA_002006235.2	Clostridium felsineum	97.0874	96	0.00261363
