# ANI ranges report for assembly: GCA_000724775.3
# Submitted organism: Lysinibacillus fusiformis (taxid = 28031, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Lysinibacillus)
# Submitted Organism Has Type Assembly: Yes
# Best match: Lysinibacillus fusiformis (taxid = 28031, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Lysinibacillus)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
S	CP010820.1	CIRCULAR	1177	1677	4843789	BRZA01000013.1	1315	1815	GCA_026012395.1	Lysinibacillus piscis	85.4582	96	0.0103431
-	CP010820.1	CIRCULAR	1678	3023	4843789	PXXY01000065.1	1	1339	GCA_003367495.1	Lysinibacillus fusiformis	97.5483	96	0.0277882
S	CP010820.1	CIRCULAR	3024	3127	4843789	LGCI01000008.1	128050	128153	GCA_001281525.1	Lysinibacillus macroides	97.1154	96	0.00214708
S	CP010820.1	CIRCULAR	3128	3234	4843789	PYWM01000133.1	80	185	GCA_003049665.1	Lysinibacillus mangiferihumi	86.9159	96	0.00220901
S	CP010820.1	CIRCULAR	3235	5802	4843789	PXXX01000005.1	1	2568	GCA_003367505.1	Lysinibacillus capsici	99.7664	96	0.0530163
S	CP010820.1	CIRCULAR	5803	6167	4843789	CP113527.1	51043	51406	GCA_028877475.1	Lysinibacillus irui	99.1781	96	0.00753542
-	CP010820.1	CIRCULAR	6281	7591	4843789	BJOM01000058.1	383	1693	GCA_006540205.1	Lysinibacillus fusiformis	99.9237	96	0.0270656
-	CP010820.1	CIRCULAR	7592	7708	4843789	PYWL01000061.1	139	255	GCA_003049525.1	Lysinibacillus fusiformis	100	96	0.00241546
-	CP010820.1	CIRCULAR	7709	9623	4843789	PXXY01000061.1	119	2030	GCA_003367495.1	Lysinibacillus fusiformis	97.5979	96	0.0395352
S	CP010820.1	CIRCULAR	9637	12278	4843789	CP113527.1	2608681	2611322	GCA_028877475.1	Lysinibacillus irui	99.3347	96	0.0545441
S	CP010820.1	CIRCULAR	12279	12640	4843789	CP113527.1	117672	118033	GCA_028877475.1	Lysinibacillus irui	99.3347	96	0.00747349
S	CP010820.1	CIRCULAR	12748	12851	4843789	CP113527.1	2611791	2611893	GCA_028877475.1	Lysinibacillus irui	95.2381	96	0.00214708
S	CP010820.1	CIRCULAR	12855	12971	4843789	CP113527.1	11978	12094	GCA_028877475.1	Lysinibacillus irui	100	96	0.00241546
S	CP010820.1	CIRCULAR	12972	13984	4843789	JPVR01000027.1	1	1014	GCA_000772935.1	Lysinibacillus boronitolerans	98.9152	96	0.0209134
S	CP010820.1	CIRCULAR	13985	14445	4843789	CP113527.1	10503	10963	GCA_028877475.1	Lysinibacillus irui	98.0477	96	0.00951734
-	CP010820.1	CIRCULAR	14446	59569	4843789	PXXY01000042.1	3200	48322	GCA_003367495.1	Lysinibacillus fusiformis	98.4491	96	0.931585
S	CP010820.1	CIRCULAR	59570	63020	4843789	WMEF01000009.1	160648	164084	GCA_009724685.1	Lysinibacillus cavernae	95.8321	96	0.0712459
S	CP010820.1	CIRCULAR	63053	63200	4843789	WMEF01000009.1	159492	159639	GCA_009724685.1	Lysinibacillus cavernae	95.9459	96	0.00305546
-	CP010820.1	CIRCULAR	63307	65480	4843789	PXXY01000042.1	1	2213	GCA_003367495.1	Lysinibacillus fusiformis	93.9024	96	0.0448822
-	CP010820.1	CIRCULAR	65481	65654	4843789	PYWL01000021.1	3	176	GCA_003049525.1	Lysinibacillus fusiformis	86.8502	96	0.00359223
-	CP010820.1	CIRCULAR	65655	65807	4843789	PYWL01000023.1	1	153	GCA_003049525.1	Lysinibacillus fusiformis	86.8502	96	0.00315868
-	CP010820.1	CIRCULAR	65808	96003	4843789	PXXY01000043.1	1	30213	GCA_003367495.1	Lysinibacillus fusiformis	97.5518	96	0.623396
-	CP010820.1	CIRCULAR	96019	108814	4843789	PXXY01000016.1	114864	127661	GCA_003367495.1	Lysinibacillus fusiformis	97.8828	96	0.264173
S	CP010820.1	CIRCULAR	110026	110575	4843789	JBEGDG010000065.1	3	552	GCA_040183165.1	Lysinibacillus zambalensis	81.6547	96	0.0113547
