# ANI ranges report for assembly: GCA_001590685.1
# Submitted organism: Sporosarcina psychrophila (taxid = 1476, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Caryophanaceae; Sporosarcina)
# Submitted Organism Has Type Assembly: No
# Best match: Sporosarcina limicola (taxid = 34101, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Caryophanaceae; Sporosarcina)
# Status: INCONCLUSIVE
# Confidence: LOW
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
S	CP014616.1	CIRCULAR	844	948	4674191	JADBEL010000022.1	66393	66497	GCA_014873855.1	Sporosarcina limicola	92.4528	96	0.00224638
T	CP014616.1	CIRCULAR	1053	1164	4674191	UXAV01000001.1	904	1015	GCA_900609045.1	Filibacter tadaridae	94.6429	96	0.00239614
S	CP014616.1	CIRCULAR	1165	1718	4674191	JBHSNO010000027.1	1	554	GCA_042655805.1	Sporosarcina soli	98.917	96	0.0118523
T	CP014616.1	CIRCULAR	1719	2066	4674191	UXAV01000001.1	1	349	GCA_900609045.1	Filibacter tadaridae	97.4212	96	0.00744514
T	CP014616.1	CIRCULAR	3291	3608	4674191	UXAV01000007.1	100	440	GCA_900609045.1	Filibacter tadaridae	91.2023	96	0.00680332
T	CP014616.1	CIRCULAR	3609	3992	4674191	CBCRXF010000053.1	1	384	GCA_965137035.1	Filibacter tadaridae	96.0938	96	0.00821533
T	CP014616.1	CIRCULAR	3993	4142	4674191	UXAV01000002.1	1	155	GCA_900609045.1	Filibacter tadaridae	70.8861	96	0.00320911
S	CP014616.1	CIRCULAR	4281	5292	4674191	JAWLIR010000090.1	1	1012	GCA_033485195.1	Sporosarcina beigongshangi	99.2103	96	0.0216508
S	CP014616.1	CIRCULAR	5293	5519	4674191	JBHSNO010000025.1	393	619	GCA_042655805.1	Sporosarcina soli	96.9163	96	0.00485646
T	CP014616.1	CIRCULAR	5575	5803	4674191	UXAV01000020.1	152575	152803	GCA_900609045.1	Filibacter tadaridae	96.5368	96	0.00489924
S	CP014616.1	CIRCULAR	5806	5916	4674191	JBHSNO010000021.1	92	205	GCA_042655805.1	Sporosarcina soli	93.8596	96	0.00237474
T	CP014616.1	CIRCULAR	8277	8472	4674191	CBCRXF010000016.1	119	315	GCA_965137035.1	Filibacter tadaridae	89.5522	96	0.00419324
S	CP014616.1	CIRCULAR	8473	11405	4674191	JADBEL010000060.1	1603	4557	GCA_014873855.1	Sporosarcina limicola	97.1912	96	0.0627488
S	CP014616.1	CIRCULAR	11694	13186	4674191	JADBEL010000060.1	7	1499	GCA_014873855.1	Sporosarcina limicola	98.3255	96	0.0319414
T	CP014616.1	CIRCULAR	19381	19499	4674191	CBCRXF010000050.1	1	119	GCA_965137035.1	Filibacter tadaridae	98.3333	96	0.0025459
T	CP014616.1	CIRCULAR	20976	21110	4674191	CBCRXF010000044.1	91	246	GCA_965137035.1	Filibacter tadaridae	70.8861	96	0.0028882
S	CP014616.1	CIRCULAR	25386	28791	4674191	JAWLIR010000023.1	3961	7360	GCA_033485195.1	Sporosarcina beigongshangi	81.8421	96	0.0728682
S	CP014616.1	CIRCULAR	28836	31781	4674191	JBHSNO010000007.1	7827	10772	GCA_042655805.1	Sporosarcina soli	79.6353	96	0.0630269
S	CP014616.1	CIRCULAR	39915	41595	4674191	JAWLIR010000023.1	18531	20212	GCA_033485195.1	Sporosarcina beigongshangi	81.057	96	0.0359634
S	CP014616.1	CIRCULAR	44315	45432	4674191	JAWLIR010000023.1	22789	23906	GCA_033485195.1	Sporosarcina beigongshangi	85.7143	96	0.0239186
S	CP014616.1	CIRCULAR	46192	47789	4674191	JBHSNO010000007.1	24980	26561	GCA_042655805.1	Sporosarcina soli	80.7072	96	0.0341877
S	CP014616.1	CIRCULAR	47807	48407	4674191	JAWLIR010000023.1	25759	26358	GCA_033485195.1	Sporosarcina beigongshangi	84.3493	96	0.0128578
S	CP014616.1	CIRCULAR	49012	53025	4674191	JADBEL010000028.1	13871	17878	GCA_014873855.1	Sporosarcina limicola	80.8838	96	0.0858758
S	CP014616.1	CIRCULAR	65367	66975	4674191	JADBEL010000001.1	244462	246069	GCA_014873855.1	Sporosarcina limicola	87.4923	96	0.0344231
S	CP014616.1	CIRCULAR	71077	71197	4674191	JAWLIR010000039.1	34193	34313	GCA_033485195.1	Sporosarcina beigongshangi	95.0413	96	0.00258868
S	CP014616.1	CIRCULAR	86000	86307	4674191	JBHSNO010000007.1	95760	96064	GCA_042655805.1	Sporosarcina soli	90.9677	96	0.00658938
S	CP014616.1	CIRCULAR	98295	100354	4674191	JADBEL010000001.1	415126	417179	GCA_014873855.1	Sporosarcina limicola	78.1205	96	0.0440718
S	CP014616.1	CIRCULAR	121824	127641	4674191	JAWLIR010000023.1	99941	105761	GCA_033485195.1	Sporosarcina beigongshangi	81.3121	96	0.124471
S	CP014616.1	CIRCULAR	132464	134908	4674191	JAWLIR010000023.1	110941	113365	GCA_033485195.1	Sporosarcina beigongshangi	81.1328	96	0.0523085
S	CP014616.1	CIRCULAR	142261	144188	4674191	JADBEL010000001.1	317454	319374	GCA_014873855.1	Sporosarcina limicola	77.4259	96	0.0412478
S	CP014616.1	CIRCULAR	154278	157309	4674191	JADBEL010000001.1	301626	304658	GCA_014873855.1	Sporosarcina limicola	77.8541	96	0.0648668
T	CP014616.1	CIRCULAR	177777	180531	4674191	UXAV01000020.1	21753	24507	GCA_900609045.1	Filibacter tadaridae	84.0522	96	0.0589407
T	CP014616.1	CIRCULAR	188726	189356	4674191	UXAV01000028.1	19221	19851	GCA_900609045.1	Filibacter tadaridae	88.2911	96	0.0134997
S	CP014616.1	CIRCULAR	198589	200212	4674191	JAWLIR010000070.1	5624	7247	GCA_033485195.1	Sporosarcina beigongshangi	85.8374	96	0.034744
S	CP014616.1	CIRCULAR	207553	208692	4674191	JADBEL010000001.1	247401	248540	GCA_014873855.1	Sporosarcina limicola	85.3893	96	0.0243892
S	CP014616.1	CIRCULAR	214195	214633	4674191	JBHSNO010000007.1	43105	43543	GCA_042655805.1	Sporosarcina soli	86.8182	96	0.009392
S	CP014616.1	CIRCULAR	214716	219309	4674191	JBHSNO010000007.1	43544	48138	GCA_042655805.1	Sporosarcina soli	90.9802	96	0.0982844
T	CP014616.1	CIRCULAR	244232	244373	4674191	UXAV01000036.1	27476	27617	GCA_900609045.1	Filibacter tadaridae	96.4789	96	0.00303796
S	CP014616.1	CIRCULAR	266752	267062	4674191	JBHSNO010000007.1	333375	333683	GCA_042655805.1	Sporosarcina soli	90.0322	96	0.00665356
T	CP014616.1	CIRCULAR	286615	286746	4674191	UXAV01000042.1	550952	551085	GCA_900609045.1	Filibacter tadaridae	93.2836	96	0.00282402
S	CP014616.1	CIRCULAR	293492	294912	4674191	JADBEL010000001.1	210606	212026	GCA_014873855.1	Sporosarcina limicola	80.1966	96	0.030401
